x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
7446,7446,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
7446,7446,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
7446,7446,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
7446,7446,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
8278,8278,Heuristic,0.900000,9.948000,1.620000,10.630000,8.953200,1.458000,1.063000,11.474200,11.474200
8278,8278,ACO,0.900000,10.134000,1.620000,10.630000,9.120600,1.458000,1.063000,11.641600,11.641600
8278,8278,PSO,0.900000,10.938000,1.992000,8.290000,9.844200,1.792800,0.829000,12.466000,12.466000
8278,8278,GA,0.900000,11.592000,2.508000,13.150000,10.432800,2.257200,1.315000,14.005000,14.005000
9110,9110,Heuristic,0.900000,9.756000,1.620000,10.630000,8.780400,1.458000,1.063000,11.301400,11.301400
9110,9110,ACO,0.900000,9.804000,1.620000,10.630000,8.823600,1.458000,1.063000,11.344600,11.344600
9110,9110,PSO,0.900000,13.602000,1.620000,10.630000,12.241800,1.458000,1.063000,14.762800,14.762800
9110,9110,GA,0.900000,11.652000,5.064000,14.130000,10.486800,4.557600,1.413000,16.457400,16.457400
9942,9942,Heuristic,0.900000,9.648000,1.620000,10.630000,8.683200,1.458000,1.063000,11.204200,11.204200
9942,9942,ACO,0.900000,9.708000,1.620000,10.630000,8.737200,1.458000,1.063000,11.258200,11.258200
9942,9942,PSO,0.900000,10.716000,1.992000,8.290000,9.644400,1.792800,0.829000,12.266200,12.266200
9942,9942,GA,0.900000,10.938000,1.992000,8.290000,9.844200,1.792800,0.829000,12.466000,12.466000
