x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
0.25,0.25,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
0.25,0.25,ACO,0.900000,12.300000,1.620000,10.630000,11.070000,1.458000,1.063000,13.591000,13.591000
0.25,0.25,PSO,0.900000,16.452000,1.620000,10.800000,14.806800,1.458000,1.080000,17.344800,17.344800
0.25,0.25,GA,0.900000,19.164000,1.992000,8.290000,17.247600,1.792800,0.829000,19.869400,19.869400
0.5,0.50,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
0.5,0.50,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
0.5,0.50,PSO,0.900000,16.308000,3.222000,10.600000,14.677200,2.899800,1.060000,18.637000,18.637000
0.5,0.50,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
0.75,0.75,Heuristic,0.900000,12.300000,1.620000,10.630000,11.070000,1.458000,1.063000,13.591000,13.591000
0.75,0.75,ACO,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
0.75,0.75,PSO,0.900000,17.754000,3.222000,10.600000,15.978600,2.899800,1.060000,19.938400,19.938400
0.75,0.75,GA,0.900000,18.492000,3.774000,8.840000,16.642800,3.396600,0.884000,20.923400,20.923400
1.0,1.00,Heuristic,0.900000,12.300000,1.620000,10.630000,11.070000,1.458000,1.063000,13.591000,13.591000
1.0,1.00,ACO,0.900000,12.456000,1.620000,10.630000,11.210400,1.458000,1.063000,13.731400,13.731400
1.0,1.00,PSO,0.900000,18.924000,3.774000,8.840000,17.031600,3.396600,0.884000,21.312200,21.312200
1.0,1.00,GA,0.900000,19.248000,3.222000,9.340000,17.323200,2.899800,0.934000,21.157000,21.157000
