x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
500,500,Heuristic,0.900000,6.540000,1.692000,8.880000,5.886000,1.522800,0.888000,8.296800,8.296800
500,500,ACO,0.900000,6.540000,1.692000,8.880000,5.886000,1.522800,0.888000,8.296800,8.296800
500,500,PSO,0.900000,8.712000,1.440000,12.570000,7.840800,1.296000,1.257000,10.393800,10.393800
500,500,GA,0.900000,7.554000,1.440000,12.570000,6.798600,1.296000,1.257000,9.351600,9.351600
1000,1000,Heuristic,0.900000,8.742000,2.082000,13.610000,7.867800,1.873800,1.361000,11.102600,11.102600
1000,1000,ACO,0.900000,8.796000,1.440000,17.510000,7.916400,1.296000,1.751000,10.963400,10.963400
1000,1000,PSO,0.900000,11.508000,1.440000,17.510000,10.357200,1.296000,1.751000,13.404200,13.404200
1000,1000,GA,0.900000,12.066000,2.082000,13.610000,10.859400,1.873800,1.361000,14.094200,14.094200
1500,1500,Heuristic,0.900000,10.170000,2.226000,11.180000,9.153000,2.003400,1.118000,12.274400,12.274400
1500,1500,ACO,0.900000,10.392000,1.440000,15.860000,9.352800,1.296000,1.586000,12.234800,12.234800
1500,1500,PSO,0.900000,14.892000,1.440000,15.860000,13.402800,1.296000,1.586000,16.284800,16.284800
1500,1500,GA,0.900000,14.070000,1.548000,15.930000,12.663000,1.393200,1.593000,15.649200,15.649200
2000,2000,Heuristic,0.900000,11.220000,2.136000,8.140000,10.098000,1.922400,0.814000,12.834400,12.834400
2000,2000,ACO,0.900000,11.220000,2.136000,8.140000,10.098000,1.922400,0.814000,12.834400,12.834400
2000,2000,PSO,0.900000,15.222000,2.136000,8.140000,13.699800,1.922400,0.814000,16.436200,16.436200
2000,2000,GA,0.900000,15.990000,2.832000,11.660000,14.391000,2.548800,1.166000,18.105800,18.105800
2500,2500,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
2500,2500,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
2500,2500,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
2500,2500,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
