x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
10.0,10,ACO,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
10.0,10,PSO,0.900000,15.588000,3.222000,9.340000,14.029200,2.899800,0.934000,17.863000,17.863000
10.0,10,GA,0.900000,19.182000,1.992000,8.290000,17.263800,1.792800,0.829000,19.885600,19.885600
15.0,15,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
15.0,15,ACO,0.900000,12.300000,1.620000,10.630000,11.070000,1.458000,1.063000,13.591000,13.591000
15.0,15,PSO,0.900000,16.806000,2.508000,13.150000,15.125400,2.257200,1.315000,18.697600,18.697600
15.0,15,GA,0.900000,20.640000,2.346000,9.150000,18.576000,2.111400,0.915000,21.602400,21.602400
20.5,20.5,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
20.5,20.5,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
20.5,20.5,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
20.5,20.5,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
25.0,25,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
25.0,25,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
25.0,25,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
25.0,25,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
