x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0-20.5,8.0,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
8.0-20.5,8.0,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
8.0-20.5,8.0,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
8.0-20.5,8.0,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
10.0-22.5,10.0,Heuristic,0.900000,12.300000,1.620000,12.730000,11.070000,1.458000,1.273000,13.801000,13.801000
10.0-22.5,10.0,ACO,0.900000,12.300000,1.620000,12.730000,11.070000,1.458000,1.273000,13.801000,13.801000
10.0-22.5,10.0,PSO,0.900000,17.532000,3.222000,11.620000,15.778800,2.899800,1.162000,19.840600,19.840600
10.0-22.5,10.0,GA,0.900000,19.854000,3.774000,11.080000,17.868600,3.396600,1.108000,22.373200,22.373200
12.5-25.0,12.5,Heuristic,0.900000,12.300000,1.620000,15.420000,11.070000,1.458000,1.542000,14.070000,14.070000
12.5-25.0,12.5,ACO,0.900000,12.300000,1.620000,15.420000,11.070000,1.458000,1.542000,14.070000,14.070000
12.5-25.0,12.5,PSO,0.900000,16.704000,1.620000,15.420000,15.033600,1.458000,1.542000,18.033600,18.033600
12.5-25.0,12.5,GA,0.900000,19.146000,2.346000,14.040000,17.231400,2.111400,1.404000,20.746800,20.746800
15.0-30.0,15.0,Heuristic,0.900000,12.276000,1.992000,15.450000,11.048400,1.792800,1.545000,14.386200,14.386200
15.0-30.0,15.0,ACO,0.900000,12.276000,1.992000,15.450000,11.048400,1.792800,1.545000,14.386200,14.386200
15.0-30.0,15.0,PSO,0.900000,18.108000,3.774000,15.950000,16.297200,3.396600,1.595000,21.288800,21.288800
15.0-30.0,15.0,GA,0.900000,18.810000,2.346000,16.310000,16.929000,2.111400,1.631000,20.671400,20.671400
