x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
5,5%,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
5,5%,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
5,5%,PSO,0.900000,18.354000,2.346000,9.150000,16.518600,2.111400,0.915000,19.545000,19.545000
5,5%,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
10,10%,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
10,10%,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
10,10%,PSO,0.900000,50.886000,1.620000,10.630000,45.797400,1.458000,1.063000,48.318400,48.318400
10,10%,GA,0.900000,51.876000,1.440000,19.830000,46.688400,1.296000,1.983000,49.967400,49.967400
15,15%,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
15,15%,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
15,15%,PSO,0.900000,50.886000,1.620000,10.630000,45.797400,1.458000,1.063000,48.318400,48.318400
15,15%,GA,0.900000,51.876000,1.440000,19.830000,46.688400,1.296000,1.983000,49.967400,49.967400
20,20%,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
20,20%,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
20,20%,PSO,0.900000,50.886000,1.620000,10.630000,45.797400,1.458000,1.063000,48.318400,48.318400
20,20%,GA,0.900000,51.876000,1.440000,19.830000,46.688400,1.296000,1.983000,49.967400,49.967400
