x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
Very Low,Very Low,Heuristic,0.900000,10.878000,1.620000,10.630000,9.790200,1.458000,1.063000,12.311200,12.311200
Very Low,Very Low,ACO,0.900000,11.040000,1.620000,10.630000,9.936000,1.458000,1.063000,12.457000,12.457000
Very Low,Very Low,PSO,0.900000,14.790000,1.620000,10.630000,13.311000,1.458000,1.063000,15.832000,15.832000
Very Low,Very Low,GA,0.900000,16.770000,1.620000,10.630000,15.093000,1.458000,1.063000,17.614000,17.614000
Low,Low,Heuristic,0.900000,12.276000,1.992000,8.290000,11.048400,1.792800,0.829000,13.670200,13.670200
Low,Low,ACO,0.900000,12.462000,1.620000,10.630000,11.215800,1.458000,1.063000,13.736800,13.736800
Low,Low,PSO,0.900000,16.218000,1.620000,10.630000,14.596200,1.458000,1.063000,17.117200,17.117200
Low,Low,GA,0.900000,19.008000,2.508000,13.150000,17.107200,2.257200,1.315000,20.679400,20.679400
Medium,Medium,Heuristic,0.900000,19.314000,1.992000,8.290000,17.382600,1.792800,0.829000,20.004400,20.004400
Medium,Medium,ACO,0.900000,19.650000,1.620000,10.630000,17.685000,1.458000,1.063000,20.206000,20.206000
Medium,Medium,PSO,0.900000,43.848000,1.620000,10.630000,39.463200,1.458000,1.063000,41.984200,41.984200
Medium,Medium,GA,0.900000,48.024000,1.812000,16.300000,43.221600,1.630800,1.630000,46.482400,46.482400
High,High,Heuristic,0.900000,36.924000,1.992000,8.290000,33.231600,1.792800,0.829000,35.853400,35.853400
High,High,ACO,0.900000,37.428000,1.620000,10.630000,33.685200,1.458000,1.063000,36.206200,36.206200
High,High,PSO,0.900000,66.276000,1.992000,8.290000,59.648400,1.792800,0.829000,62.270200,62.270200
High,High,GA,0.900000,72.204000,2.244000,13.930000,64.983600,2.019600,1.393000,68.396200,68.396200
