x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10,10,Optimization,0.900000,0.522000,3.192000,10.770000,0.469800,2.872800,1.077000,4.419600,4.419600
10,10,Heuristic,0.900000,0.246000,3.798000,8.000000,0.221400,3.418200,0.800000,4.439600,4.439600
20,20,Optimization,0.900000,1.506000,1.440000,18.280000,1.355400,1.296000,1.828000,4.479400,4.479400
20,20,Heuristic,0.900000,1.506000,1.440000,18.280000,1.355400,1.296000,1.828000,4.479400,4.479400
30,30,Optimization,0.900000,1.482000,1.440000,19.100000,1.333800,1.296000,1.910000,4.539800,4.539800
30,30,Heuristic,0.900000,1.482000,1.440000,19.100000,1.333800,1.296000,1.910000,4.539800,4.539800
40,40,Optimization,0.900000,1.620000,1.440000,19.160000,1.458000,1.296000,1.916000,4.670000,4.670000
40,40,Heuristic,0.900000,1.602000,1.800000,18.600000,1.441800,1.620000,1.860000,4.921800,4.921800
50,50,Optimization,0.900000,1.860000,1.440000,17.600000,1.674000,1.296000,1.760000,4.730000,4.730000
50,50,Heuristic,0.900000,1.764000,2.478000,13.300000,1.587600,2.230200,1.330000,5.147800,5.147800
