x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
5385,5385,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
5385,5385,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
5385,5385,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
5385,5385,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
6069,6069,Heuristic,0.900000,9.408000,2.358000,10.640000,8.467200,2.122200,1.064000,11.653400,11.653400
6069,6069,ACO,0.900000,9.396000,0.786000,19.130000,8.456400,0.707400,1.913000,11.076800,11.076800
6069,6069,PSO,0.900000,11.292000,0.786000,19.130000,10.162800,0.707400,1.913000,12.783200,12.783200
6069,6069,GA,0.900000,12.534000,0.786000,19.130000,11.280600,0.707400,1.913000,13.901000,13.901000
6753,6753,Heuristic,0.900000,9.180000,2.358000,10.640000,8.262000,2.122200,1.064000,11.448200,11.448200
6753,6753,ACO,0.900000,10.518000,0.786000,19.130000,9.466200,0.707400,1.913000,12.086600,12.086600
6753,6753,PSO,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
6753,6753,GA,0.900000,14.022000,2.586000,18.620000,12.619800,2.327400,1.862000,16.809200,16.809200
7437,7437,Heuristic,0.900000,8.868000,2.358000,10.640000,7.981200,2.122200,1.064000,11.167400,11.167400
7437,7437,ACO,0.900000,12.000000,0.786000,19.130000,10.800000,0.707400,1.913000,13.420400,13.420400
7437,7437,PSO,0.900000,12.744000,0.786000,19.130000,11.469600,0.707400,1.913000,14.090000,14.090000
7437,7437,GA,0.900000,12.144000,0.786000,19.130000,10.929600,0.707400,1.913000,13.550000,13.550000
