x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
0.25,0.25,Heuristic,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
0.25,0.25,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
0.25,0.25,PSO,0.900000,14.676000,2.586000,18.620000,13.208400,2.327400,1.862000,17.397800,17.397800
0.25,0.25,GA,0.900000,13.698000,0.786000,19.130000,12.328200,0.707400,1.913000,14.948600,14.948600
0.5,0.50,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
0.5,0.50,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
0.5,0.50,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
0.5,0.50,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
0.75,0.75,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
0.75,0.75,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
0.75,0.75,PSO,0.900000,15.276000,0.786000,19.130000,13.748400,0.707400,1.913000,16.368800,16.368800
0.75,0.75,GA,0.900000,13.206000,0.786000,19.130000,11.885400,0.707400,1.913000,14.505800,14.505800
1.0,1.00,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
1.0,1.00,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
1.0,1.00,PSO,0.900000,12.780000,4.968000,11.520000,11.502000,4.471200,1.152000,17.125200,17.125200
1.0,1.00,GA,0.900000,13.104000,0.786000,19.130000,11.793600,0.707400,1.913000,14.414000,14.414000
