x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10,Heuristic,0.900000,10.146000,4.668000,8.880000,9.131400,4.201200,0.888000,14.220600,14.220600
10.0,10,ACO,0.900000,10.146000,4.668000,8.880000,9.131400,4.201200,0.888000,14.220600,14.220600
10.0,10,PSO,0.900000,14.358000,4.668000,8.880000,12.922200,4.201200,0.888000,18.011400,18.011400
10.0,10,GA,0.900000,13.464000,4.668000,8.880000,12.117600,4.201200,0.888000,17.206800,17.206800
15.0,15,Heuristic,0.900000,10.026000,3.198000,11.220000,9.023400,2.878200,1.122000,13.023600,13.023600
15.0,15,ACO,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
15.0,15,PSO,0.900000,13.122000,4.968000,11.520000,11.809800,4.471200,1.152000,17.433000,17.433000
15.0,15,GA,0.900000,12.762000,2.358000,10.640000,11.485800,2.122200,1.064000,14.672000,14.672000
20.5,20.5,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
20.5,20.5,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
20.5,20.5,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
20.5,20.5,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
25.0,25,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
25.0,25,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
25.0,25,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
25.0,25,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
