x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0-20.5,8.0,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
8.0-20.5,8.0,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
8.0-20.5,8.0,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
8.0-20.5,8.0,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
10.0-22.5,10.0,Heuristic,0.900000,10.272000,2.358000,12.640000,9.244800,2.122200,1.264000,12.631000,12.631000
10.0-22.5,10.0,ACO,0.900000,10.272000,2.358000,12.640000,9.244800,2.122200,1.264000,12.631000,12.631000
10.0-22.5,10.0,PSO,0.900000,13.254000,2.358000,12.640000,11.928600,2.122200,1.264000,15.314800,15.314800
10.0-22.5,10.0,GA,0.900000,12.024000,5.016000,15.450000,10.821600,4.514400,1.545000,16.881000,16.881000
12.5-25.0,12.5,Heuristic,0.900000,10.272000,2.358000,15.140000,9.244800,2.122200,1.514000,12.881000,12.881000
12.5-25.0,12.5,ACO,0.900000,10.272000,2.358000,15.140000,9.244800,2.122200,1.514000,12.881000,12.881000
12.5-25.0,12.5,PSO,0.900000,17.010000,2.358000,15.140000,15.309000,2.122200,1.514000,18.945200,18.945200
12.5-25.0,12.5,GA,0.900000,12.666000,2.358000,15.140000,11.399400,2.122200,1.514000,15.035600,15.035600
15.0-30.0,15.0,Heuristic,0.900000,10.026000,3.198000,18.860000,9.023400,2.878200,1.886000,13.787600,13.787600
15.0-30.0,15.0,ACO,0.900000,10.272000,2.358000,18.170000,9.244800,2.122200,1.817000,13.184000,13.184000
15.0-30.0,15.0,PSO,0.900000,13.950000,4.968000,19.220000,12.555000,4.471200,1.922000,18.948200,18.948200
15.0-30.0,15.0,GA,0.900000,12.588000,4.968000,19.220000,11.329200,4.471200,1.922000,17.722400,17.722400
