x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
5,5%,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
5,5%,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
5,5%,PSO,0.900000,12.636000,0.786000,19.130000,11.372400,0.707400,1.913000,13.992800,13.992800
5,5%,GA,0.900000,12.846000,0.786000,19.130000,11.561400,0.707400,1.913000,14.181800,14.181800
10,10%,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
10,10%,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
10,10%,PSO,0.900000,17.046000,0.786000,19.130000,15.341400,0.707400,1.913000,17.961800,17.961800
10,10%,GA,0.900000,12.738000,0.786000,19.130000,11.464200,0.707400,1.913000,14.084600,14.084600
15,15%,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
15,15%,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
15,15%,PSO,0.900000,14.886000,0.786000,19.130000,13.397400,0.707400,1.913000,16.017800,16.017800
15,15%,GA,0.900000,13.734000,2.358000,10.640000,12.360600,2.122200,1.064000,15.546800,15.546800
20,20%,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
20,20%,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
20,20%,PSO,0.900000,13.914000,5.016000,13.450000,12.522600,4.514400,1.345000,18.382000,18.382000
20,20%,GA,0.900000,13.446000,0.786000,19.130000,12.101400,0.707400,1.913000,14.721800,14.721800
