x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
Very Low,Very Low,Heuristic,0.900000,8.820000,2.358000,10.640000,7.938000,2.122200,1.064000,11.124200,11.124200
Very Low,Very Low,ACO,0.900000,8.814000,0.786000,19.130000,7.932600,0.707400,1.913000,10.553000,10.553000
Very Low,Very Low,PSO,0.900000,14.034000,0.786000,19.130000,12.630600,0.707400,1.913000,15.251000,15.251000
Very Low,Very Low,GA,0.900000,10.824000,2.358000,10.640000,9.741600,2.122200,1.064000,12.927800,12.927800
Low,Low,Heuristic,0.900000,10.272000,2.358000,10.640000,9.244800,2.122200,1.064000,12.431000,12.431000
Low,Low,ACO,0.900000,10.260000,0.786000,19.130000,9.234000,0.707400,1.913000,11.854400,11.854400
Low,Low,PSO,0.900000,14.004000,0.786000,19.130000,12.603600,0.707400,1.913000,15.224000,15.224000
Low,Low,GA,0.900000,12.780000,0.786000,19.130000,11.502000,0.707400,1.913000,14.122400,14.122400
Medium,Medium,Heuristic,0.900000,15.696000,2.358000,10.640000,14.126400,2.122200,1.064000,17.312600,17.312600
Medium,Medium,ACO,0.900000,15.678000,0.786000,19.130000,14.110200,0.707400,1.913000,16.730600,16.730600
Medium,Medium,PSO,0.900000,19.446000,3.198000,11.220000,17.501400,2.878200,1.122000,21.501600,21.501600
Medium,Medium,GA,0.900000,18.606000,4.968000,11.520000,16.745400,4.471200,1.152000,22.368600,22.368600
High,High,Heuristic,0.900000,31.002000,3.198000,11.220000,27.901800,2.878200,1.122000,31.902000,31.902000
High,High,ACO,0.900000,31.716000,0.786000,19.130000,28.544400,0.707400,1.913000,31.164800,31.164800
High,High,PSO,0.900000,40.296000,4.968000,11.520000,36.266400,4.471200,1.152000,41.889600,41.889600
High,High,GA,0.900000,38.088000,4.968000,11.520000,34.279200,4.471200,1.152000,39.902400,39.902400
