x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
7446,7446,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
7446,7446,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
7446,7446,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
8278,8278,ACO,0.900000,10.044180,2.183700,6.660000,10.044180,2.183700,6.660000,18.887880,11.671092
8278,8278,PSO,0.900000,11.250180,2.183700,6.660000,11.250180,2.183700,6.660000,20.093880,12.756492
8278,8278,GA,0.900000,12.993060,3.462000,7.610000,12.993060,3.462000,7.610000,24.065060,15.570554
9110,9110,ACO,0.900000,9.897420,1.797060,9.130000,9.897420,1.797060,9.130000,20.824480,11.438032
9110,9110,PSO,0.900000,11.265420,1.797060,9.130000,11.265420,1.797060,9.130000,22.192480,12.669232
9110,9110,GA,0.900000,12.077340,4.130940,7.150000,12.077340,4.130940,7.150000,23.358280,15.302452
9942,9942,ACO,0.900000,9.801420,1.797060,9.130000,9.801420,1.797060,9.130000,20.728480,11.351632
9942,9942,PSO,0.900000,10.191000,5.845260,6.720000,10.191000,5.845260,6.720000,22.756260,15.104634
9942,9942,GA,0.900000,11.094180,2.183700,6.660000,11.094180,2.183700,6.660000,19.937880,12.616092
