x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
0.25,0.25,ACO,0.900000,12.393420,1.797060,9.130000,12.393420,1.797060,9.130000,23.320480,13.684432
0.25,0.25,PSO,0.900000,15.569940,2.975880,18.050000,15.569940,2.975880,18.050000,36.595820,18.496238
0.25,0.25,GA,0.900000,18.816180,2.183700,6.660000,18.816180,2.183700,6.660000,27.659880,19.565892
0.50,0.50,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
0.50,0.50,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
0.50,0.50,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
0.75,0.75,ACO,0.900000,12.393420,1.797060,9.130000,12.393420,1.797060,9.130000,23.320480,13.684432
0.75,0.75,PSO,0.900000,17.703060,3.462000,7.610000,17.703060,3.462000,7.610000,28.775060,19.809554
0.75,0.75,GA,0.900000,18.371940,2.975880,18.050000,18.371940,2.975880,18.050000,39.397820,21.018038
1.00,1.00,ACO,0.900000,12.555420,1.797060,9.130000,12.555420,1.797060,9.130000,23.482480,13.830232
1.00,1.00,PSO,0.900000,16.689060,3.462000,7.610000,16.689060,3.462000,7.610000,27.761060,18.896954
1.00,1.00,GA,0.900000,18.601020,2.555880,7.500000,18.601020,2.555880,7.500000,28.656900,19.791210
