x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
500,500,ACO,0.900000,6.633540,1.871460,7.260000,6.633540,1.871460,7.260000,15.765000,8.380500
500,500,PSO,0.900000,8.815800,1.609680,11.330000,8.815800,1.609680,11.330000,21.755480,10.515932
500,500,GA,0.900000,7.491540,1.871460,7.260000,7.491540,1.871460,7.260000,16.623000,9.152700
1000,1000,ACO,0.900000,8.884800,1.606680,17.440000,8.884800,1.606680,17.440000,27.931480,11.186332
1000,1000,PSO,0.900000,12.178800,1.606680,17.440000,12.178800,1.606680,17.440000,31.225480,14.150932
1000,1000,GA,0.900000,12.158940,2.397420,12.690000,12.158940,2.397420,12.690000,27.246360,14.369724
1500,1500,ACO,0.900000,10.358820,1.755960,15.580000,10.358820,1.755960,15.580000,27.694780,12.461302
1500,1500,PSO,0.900000,12.568320,1.612200,15.320000,12.568320,1.612200,15.320000,29.500520,14.294468
1500,1500,GA,0.900000,13.277580,1.724940,15.370000,13.277580,1.724940,15.370000,30.372520,15.039268
2000,2000,ACO,0.900000,11.318400,2.334540,6.450000,11.318400,2.334540,6.450000,20.102940,12.932646
2000,2000,PSO,0.900000,15.836400,2.334540,6.450000,15.836400,2.334540,6.450000,24.620940,16.998846
2000,2000,GA,0.900000,16.540080,2.571540,19.980000,16.540080,2.571540,19.980000,39.091620,19.198458
2500,2500,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
2500,2500,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
2500,2500,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
