x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10.0,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
10.0,10.0,PSO,0.900000,17.105460,4.034040,7.050000,17.105460,4.034040,7.050000,28.189500,19.730550
10.0,10.0,GA,0.900000,18.288180,2.183700,6.660000,18.288180,2.183700,6.660000,27.131880,19.090692
15.0,15.0,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
15.0,15.0,PSO,0.900000,18.099420,1.797060,9.130000,18.099420,1.797060,9.130000,29.026480,18.819832
15.0,15.0,GA,0.900000,20.205420,1.797060,9.130000,20.205420,1.797060,9.130000,31.132480,20.715232
20.5,20.5,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
20.5,20.5,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
20.5,20.5,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
25.0,25.0,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
25.0,25.0,PSO,0.900000,16.975020,2.555880,7.500000,16.975020,2.555880,7.500000,27.030900,18.327810
25.0,25.0,GA,0.900000,19.065000,3.604320,11.170000,19.065000,3.604320,11.170000,33.839320,21.519388
