x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0-20.5,8.0,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
8.0-20.5,8.0,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
8.0-20.5,8.0,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
10.0-22.5,10.0,ACO,0.900000,12.372180,2.183700,8.720000,12.372180,2.183700,8.720000,23.275880,13.972292
10.0-22.5,10.0,PSO,0.900000,17.613060,3.462000,10.090000,17.613060,3.462000,10.090000,31.165060,19.976554
10.0-22.5,10.0,GA,0.900000,18.915060,3.462000,10.090000,18.915060,3.462000,10.090000,32.467060,21.148354
12.5-25.0,12.5,ACO,0.900000,12.393420,1.797060,14.730000,12.393420,1.797060,14.730000,28.920480,14.244432
12.5-25.0,12.5,PSO,0.900000,17.376180,2.183700,11.640000,17.376180,2.183700,11.640000,31.199880,18.767892
12.5-25.0,12.5,GA,0.900000,19.521540,2.278200,11.790000,19.521540,2.278200,11.790000,33.589740,20.798766
15.0-30.0,15.0,ACO,0.900000,12.372180,2.183700,14.760000,12.372180,2.183700,14.760000,29.315880,14.576292
15.0-30.0,15.0,PSO,0.900000,17.850180,2.183700,14.760000,17.850180,2.183700,14.760000,34.793880,19.506492
15.0-30.0,15.0,GA,0.900000,19.720080,1.945920,19.220000,19.720080,1.945920,19.220000,40.886000,21.421400
