x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10%,10%,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
10%,10%,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
10%,10%,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
20%,20%,ACO,0.900000,12.393420,1.797060,9.130000,12.393420,1.797060,9.130000,23.320480,13.684432
20%,20%,PSO,0.900000,17.849460,4.034040,7.050000,17.849460,4.034040,7.050000,28.933500,20.400150
20%,20%,GA,0.900000,18.795420,1.797060,9.130000,18.795420,1.797060,9.130000,29.722480,19.446232
30%,30%,ACO,0.900000,12.393420,1.797060,9.130000,12.393420,1.797060,9.130000,23.320480,13.684432
30%,30%,PSO,0.900000,19.973460,4.034040,7.050000,19.973460,4.034040,7.050000,31.057500,22.311750
30%,30%,GA,0.900000,20.568780,2.469720,6.910000,20.568780,2.469720,6.910000,29.948500,21.425650
40%,40%,ACO,0.900000,12.405420,1.797060,9.130000,12.405420,1.797060,9.130000,23.332480,13.695232
40%,40%,PSO,0.900000,16.909020,2.555880,7.500000,16.909020,2.555880,7.500000,26.964900,18.268410
40%,40%,GA,0.900000,18.479460,2.012340,9.410000,18.479460,2.012340,9.410000,29.901800,19.383620
