x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,ACO,0.900000,12.343620,2.174880,5.880000,12.343620,2.174880,5.880000,20.398500,13.654650
10-20,10,PSO,0.900000,18.259620,2.174880,5.880000,18.259620,2.174880,5.880000,26.314500,18.979050
10-20,10,GA,0.900000,18.325620,2.174880,5.880000,18.325620,2.174880,5.880000,26.380500,19.038450
20-40,20,ACO,0.900000,12.343620,2.174880,5.880000,12.343620,2.174880,5.880000,20.398500,13.654650
20-40,20,PSO,0.900000,17.559300,3.241440,13.630000,17.559300,3.241440,13.630000,34.430740,20.083666
20-40,20,GA,0.900000,20.293500,2.882340,13.590000,20.293500,2.882340,13.590000,36.765840,22.217256
40-60,40,ACO,0.900000,12.343620,2.174880,5.880000,12.343620,2.174880,5.880000,20.398500,13.654650
40-60,40,PSO,0.900000,18.654180,3.664020,10.530000,18.654180,3.664020,10.530000,32.848200,21.139380
40-60,40,GA,0.900000,19.702800,2.566500,6.300000,19.702800,2.566500,6.300000,28.569300,20.672370
60-80,60,ACO,0.900000,12.343620,2.174880,5.880000,12.343620,2.174880,5.880000,20.398500,13.654650
60-80,60,PSO,0.900000,17.331300,3.241440,13.630000,17.331300,3.241440,13.630000,34.202740,19.878466
60-80,60,GA,0.900000,19.248840,3.417720,13.960000,19.248840,3.417720,13.960000,36.626560,21.795904
