x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
very_low,very_low,ACO,0.900000,10.950180,2.183700,6.660000,10.950180,2.183700,6.660000,19.793880,12.486492
very_low,very_low,PSO,0.900000,14.859420,1.797060,9.130000,14.859420,1.797060,9.130000,25.786480,15.903832
very_low,very_low,GA,0.900000,17.208240,2.634060,7.560000,17.208240,2.634060,7.560000,27.402300,18.614070
low,low,ACO,0.900000,12.372180,2.183700,6.660000,12.372180,2.183700,6.660000,21.215880,13.766292
low,low,PSO,0.900000,18.870180,2.183700,6.660000,18.870180,2.183700,6.660000,27.713880,19.614492
low,low,GA,0.900000,18.681540,2.278200,6.760000,18.681540,2.278200,6.760000,27.719740,19.539766
medium,medium,ACO,0.900000,19.410180,2.183700,6.660000,19.410180,2.183700,6.660000,28.253880,20.100492
medium,medium,PSO,0.900000,44.940180,2.183700,6.660000,44.940180,2.183700,6.660000,53.783880,43.077492
medium,medium,GA,0.900000,27.386280,5.572920,13.100000,27.386280,5.572920,13.100000,46.059200,30.973280
high,high,ACO,0.900000,37.020180,2.183700,6.660000,37.020180,2.183700,6.660000,45.863880,35.949492
high,high,PSO,0.900000,68.556180,2.183700,6.660000,68.556180,2.183700,6.660000,77.399880,64.331892
high,high,GA,0.900000,68.487060,3.462000,7.610000,68.487060,3.462000,7.610000,79.559060,65.515154
