x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
180,180,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
180,180,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
180,180,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
180,180,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
192,192,Optimization,0.900000,1.493760,1.607640,19.630000,1.493760,1.607640,19.630000,22.731400,4.754260
192,192,ACO,0.900000,1.493760,1.607640,19.630000,1.493760,1.607640,19.630000,22.731400,4.754260
192,192,PSO,0.900000,1.493760,1.607640,19.630000,1.493760,1.607640,19.630000,22.731400,4.754260
192,192,GA,0.900000,1.493760,1.607640,19.630000,1.493760,1.607640,19.630000,22.731400,4.754260
204,204,Optimization,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
204,204,ACO,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
204,204,PSO,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
204,204,GA,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
216,216,Optimization,0.900000,1.409760,1.607640,19.630000,1.409760,1.607640,19.630000,22.647400,4.678660
216,216,ACO,0.900000,1.409760,1.607640,19.630000,1.409760,1.607640,19.630000,22.647400,4.678660
216,216,PSO,0.900000,1.409760,1.607640,19.630000,1.409760,1.607640,19.630000,22.647400,4.678660
216,216,GA,0.900000,1.409760,1.607640,19.630000,1.409760,1.607640,19.630000,22.647400,4.678660
