x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10,10,Optimization,0.900000,0.627600,3.431520,9.130000,0.627600,3.431520,9.130000,13.189120,4.566208
10,10,ACO,0.900000,0.627600,3.431520,9.130000,0.627600,3.431520,9.130000,13.189120,4.566208
10,10,PSO,0.900000,0.627600,3.431520,9.130000,0.627600,3.431520,9.130000,13.189120,4.566208
10,10,GA,0.900000,0.627600,3.431520,9.130000,0.627600,3.431520,9.130000,13.189120,4.566208
20,20,Optimization,0.900000,1.599540,1.611420,17.770000,1.599540,1.611420,17.770000,20.980960,4.666864
20,20,ACO,0.900000,1.599540,1.611420,17.770000,1.599540,1.611420,17.770000,20.980960,4.666864
20,20,PSO,0.900000,1.599540,1.611420,17.770000,1.599540,1.611420,17.770000,20.980960,4.666864
20,20,GA,0.900000,1.599540,1.611420,17.770000,1.599540,1.611420,17.770000,20.980960,4.666864
30,30,Optimization,0.900000,1.576200,1.612080,13.260000,1.576200,1.612080,13.260000,16.448280,4.195452
30,30,ACO,0.900000,1.576200,1.612080,13.260000,1.576200,1.612080,13.260000,16.448280,4.195452
30,30,PSO,0.900000,1.576200,1.612080,13.260000,1.576200,1.612080,13.260000,16.448280,4.195452
30,30,GA,0.900000,1.576200,1.612080,13.260000,1.576200,1.612080,13.260000,16.448280,4.195452
40,40,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
40,40,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
40,40,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
40,40,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
50,50,Optimization,0.900000,1.950540,1.608420,12.070000,1.950540,1.608420,12.070000,15.628960,4.410064
50,50,ACO,0.900000,1.866060,2.691120,8.440000,1.866060,2.691120,8.440000,12.997180,4.945462
50,50,PSO,0.900000,2.041800,1.609680,12.060000,2.041800,1.609680,12.060000,15.711480,4.492332
50,50,GA,0.900000,1.951800,1.609680,12.060000,1.951800,1.609680,12.060000,15.621480,4.411332
