x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10.0,Optimization,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
10.0,10.0,ACO,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
10.0,10.0,PSO,0.900000,1.763760,1.607640,6.390000,1.763760,1.607640,6.390000,9.761400,3.673260
10.0,10.0,GA,0.900000,1.721760,1.607640,6.390000,1.721760,1.607640,6.390000,9.719400,3.635460
15.0,15.0,Optimization,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
15.0,15.0,ACO,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
15.0,15.0,PSO,0.900000,1.763760,1.607640,6.390000,1.763760,1.607640,6.390000,9.761400,3.673260
15.0,15.0,GA,0.900000,1.721760,1.607640,6.390000,1.721760,1.607640,6.390000,9.719400,3.635460
20.5,20.5,Optimization,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
20.5,20.5,ACO,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
20.5,20.5,PSO,0.900000,1.805760,1.607640,6.390000,1.805760,1.607640,6.390000,9.803400,3.711060
20.5,20.5,GA,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
25.0,25.0,Optimization,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
25.0,25.0,ACO,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
25.0,25.0,PSO,0.900000,1.805760,1.607640,6.390000,1.805760,1.607640,6.390000,9.803400,3.711060
25.0,25.0,GA,0.900000,1.709760,1.607640,6.390000,1.709760,1.607640,6.390000,9.707400,3.624660
