x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0-20.5,8.0,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
8.0-20.5,8.0,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
8.0-20.5,8.0,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
8.0-20.5,8.0,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
10.0-22.5,10.0,Optimization,0.900000,1.709760,1.607640,9.500000,1.709760,1.607640,9.500000,12.817400,3.935660
10.0-22.5,10.0,ACO,0.900000,1.709760,1.607640,9.500000,1.709760,1.607640,9.500000,12.817400,3.935660
10.0-22.5,10.0,PSO,0.900000,1.805760,1.607640,9.500000,1.805760,1.607640,9.500000,12.913400,4.022060
10.0-22.5,10.0,GA,0.900000,1.709760,1.607640,9.500000,1.709760,1.607640,9.500000,12.817400,3.935660
12.5-25.0,12.5,Optimization,0.900000,1.709760,1.607640,15.350000,1.709760,1.607640,15.350000,18.667400,4.520660
12.5-25.0,12.5,ACO,0.900000,1.709760,1.607640,15.350000,1.709760,1.607640,15.350000,18.667400,4.520660
12.5-25.0,12.5,PSO,0.900000,1.805760,1.607640,15.350000,1.805760,1.607640,15.350000,18.763400,4.607060
12.5-25.0,12.5,GA,0.900000,1.709760,1.607640,15.350000,1.709760,1.607640,15.350000,18.667400,4.520660
15.0-30.0,15.0,Optimization,0.900000,1.709760,1.607640,17.940000,1.709760,1.607640,17.940000,21.257400,4.779660
15.0-30.0,15.0,ACO,0.900000,1.709760,1.607640,17.940000,1.709760,1.607640,17.940000,21.257400,4.779660
15.0-30.0,15.0,PSO,0.900000,1.710540,1.985940,15.080000,1.710540,1.985940,15.080000,18.776480,4.834832
15.0-30.0,15.0,GA,0.900000,1.709760,1.607640,17.940000,1.709760,1.607640,17.940000,21.257400,4.779660
