x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10%,10%,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
10%,10%,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
10%,10%,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
10%,10%,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
20%,20%,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
20%,20%,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
20%,20%,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
20%,20%,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
30%,30%,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
30%,30%,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
30%,30%,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
30%,30%,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
40%,40%,Optimization,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
40%,40%,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
40%,40%,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
40%,40%,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
