x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,Optimization,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
10-20,10,ACO,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
10-20,10,PSO,0.900000,1.714860,1.642320,19.220000,1.714860,1.642320,19.220000,22.577180,4.943462
10-20,10,GA,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
20-40,20,Optimization,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
20-40,20,ACO,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
20-40,20,PSO,0.900000,1.714860,1.642320,19.220000,1.714860,1.642320,19.220000,22.577180,4.943462
20-40,20,GA,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
40-60,40,Optimization,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
40-60,40,ACO,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
40-60,40,PSO,0.900000,1.714860,1.642320,19.220000,1.714860,1.642320,19.220000,22.577180,4.943462
40-60,40,GA,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
60-80,60,Optimization,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
60-80,60,ACO,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
60-80,60,PSO,0.900000,1.714860,1.642320,19.220000,1.714860,1.642320,19.220000,22.577180,4.943462
60-80,60,GA,0.900000,1.708860,1.642320,19.220000,1.708860,1.642320,19.220000,22.571180,4.938062
