x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
very_low,very_low,Optimization,0.900000,1.379760,1.607640,19.630000,1.379760,1.607640,19.630000,22.617400,4.651660
very_low,very_low,ACO,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
very_low,very_low,PSO,0.900000,1.511760,1.607640,19.630000,1.511760,1.607640,19.630000,22.749400,4.770460
very_low,very_low,GA,0.900000,1.481760,1.607640,19.630000,1.481760,1.607640,19.630000,22.719400,4.743460
low,low,Optimization,0.900000,1.559760,1.607640,19.630000,1.559760,1.607640,19.630000,22.797400,4.813660
low,low,ACO,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
low,low,PSO,0.900000,1.805760,1.607640,19.630000,1.805760,1.607640,19.630000,23.043400,5.035060
low,low,GA,0.900000,1.709760,1.607640,19.630000,1.709760,1.607640,19.630000,22.947400,4.948660
medium,medium,Optimization,0.900000,2.375760,1.607640,19.630000,2.375760,1.607640,19.630000,23.613400,5.548060
medium,medium,ACO,0.900000,2.537760,1.607640,19.630000,2.537760,1.607640,19.630000,23.775400,5.693860
medium,medium,PSO,0.900000,2.771760,1.607640,19.630000,2.771760,1.607640,19.630000,24.009400,5.904460
medium,medium,GA,0.900000,2.567760,1.607640,19.630000,2.567760,1.607640,19.630000,23.805400,5.720860
high,high,Optimization,0.900000,4.337760,1.607640,19.630000,4.337760,1.607640,19.630000,25.575400,7.313860
high,high,ACO,0.900000,5.081760,1.607640,19.630000,5.081760,1.607640,19.630000,26.319400,7.983460
high,high,PSO,0.900000,5.345760,1.607640,19.630000,5.345760,1.607640,19.630000,26.583400,8.221060
high,high,GA,0.900000,5.081760,1.607640,19.630000,5.081760,1.607640,19.630000,26.319400,7.983460
