x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
5385,5385,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
5385,5385,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
5385,5385,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
6069,6069,ACO,0.900000,9.483000,0.929940,19.660000,9.483000,0.929940,19.660000,30.072940,11.337646
6069,6069,PSO,0.900000,11.747640,5.278380,9.830000,11.747640,5.278380,9.830000,26.856020,16.306418
6069,6069,GA,0.900000,14.965080,3.435240,9.630000,14.965080,3.435240,9.630000,28.030320,17.523288
6753,6753,ACO,0.900000,10.605000,0.929940,19.660000,10.605000,0.929940,19.660000,31.194940,12.347446
6753,6753,PSO,0.900000,11.711640,5.278380,9.830000,11.711640,5.278380,9.830000,26.820020,16.274018
6753,6753,GA,0.900000,10.659960,1.036080,19.950000,10.659960,1.036080,19.950000,31.646040,12.521436
7437,7437,ACO,0.900000,12.087000,0.929940,19.660000,12.087000,0.929940,19.660000,32.676940,13.681246
7437,7437,PSO,0.900000,11.181000,0.929940,19.660000,11.181000,0.929940,19.660000,31.770940,12.865846
7437,7437,GA,0.900000,11.929080,3.435240,9.630000,11.929080,3.435240,9.630000,24.994320,14.790888
