x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
0.25,0.25,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
0.25,0.25,PSO,0.900000,14.841000,0.929940,19.660000,14.841000,0.929940,19.660000,35.430940,16.159846
0.25,0.25,GA,0.900000,15.162120,2.678580,9.220000,15.162120,2.678580,9.220000,27.060700,16.978630
0.50,0.50,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
0.50,0.50,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
0.50,0.50,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
0.75,0.75,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
0.75,0.75,PSO,0.900000,13.647000,0.929940,19.660000,13.647000,0.929940,19.660000,34.236940,15.085246
0.75,0.75,GA,0.900000,13.048200,0.983760,19.820000,13.048200,0.983760,19.820000,33.851960,14.610764
1.00,1.00,ACO,0.900000,10.917000,0.929940,19.660000,10.917000,0.929940,19.660000,31.506940,12.628246
1.00,1.00,PSO,0.900000,13.175640,5.278380,9.830000,13.175640,5.278380,9.830000,28.284020,17.591618
1.00,1.00,GA,0.900000,13.692600,3.526860,9.770000,13.692600,3.526860,9.770000,26.989460,16.474514
