x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10.0,ACO,0.900000,10.369380,2.562660,9.080000,10.369380,2.562660,9.080000,22.012040,12.546836
10.0,10.0,PSO,0.900000,12.581640,5.278380,9.830000,12.581640,5.278380,9.830000,27.690020,17.057018
10.0,10.0,GA,0.900000,13.717380,2.562660,9.080000,13.717380,2.562660,9.080000,25.360040,15.560036
15.0,15.0,ACO,0.900000,10.369380,2.562660,9.080000,10.369380,2.562660,9.080000,22.012040,12.546836
15.0,15.0,PSO,0.900000,11.971380,2.562660,9.080000,11.971380,2.562660,9.080000,23.614040,13.988636
15.0,15.0,GA,0.900000,12.583380,2.562660,9.080000,12.583380,2.562660,9.080000,24.226040,14.539436
20.5,20.5,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
20.5,20.5,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
20.5,20.5,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
25.0,25.0,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
25.0,25.0,PSO,0.900000,15.501000,0.929940,19.660000,15.501000,0.929940,19.660000,36.090940,16.753846
25.0,25.0,GA,0.900000,12.862740,2.741880,9.280000,12.862740,2.741880,9.280000,24.884620,14.972158
