x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0-20.5,8.0,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
8.0-20.5,8.0,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
8.0-20.5,8.0,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
10.0-22.5,10.0,ACO,0.900000,10.369380,2.562660,11.330000,10.369380,2.562660,11.330000,24.262040,12.771836
10.0-22.5,10.0,PSO,0.900000,13.416600,5.328900,14.460000,13.416600,5.328900,14.460000,33.205500,18.316950
10.0-22.5,10.0,GA,0.900000,12.949380,2.562660,11.330000,12.949380,2.562660,11.330000,26.842040,15.093836
12.5-25.0,12.5,ACO,0.900000,10.369380,2.562660,14.320000,10.369380,2.562660,14.320000,27.252040,13.070836
12.5-25.0,12.5,PSO,0.900000,12.431640,5.278380,15.200000,12.431640,5.278380,15.200000,32.910020,17.459018
12.5-25.0,12.5,GA,0.900000,12.793380,2.562660,14.320000,12.793380,2.562660,14.320000,29.676040,15.252436
15.0-30.0,15.0,ACO,0.900000,10.369380,2.562660,18.220000,10.369380,2.562660,18.220000,31.152040,13.460836
15.0-30.0,15.0,PSO,0.900000,12.581640,5.278380,19.410000,12.581640,5.278380,19.410000,37.270020,18.015018
15.0-30.0,15.0,GA,0.900000,14.208360,2.620200,18.330000,14.208360,2.620200,18.330000,35.158560,16.978704
