x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10%,10%,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
10%,10%,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
10%,10%,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
20%,20%,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
20%,20%,PSO,0.900000,13.789380,2.562660,9.080000,13.789380,2.562660,9.080000,25.432040,15.624836
20%,20%,GA,0.900000,14.203740,1.151040,20.240000,14.203740,1.151040,20.240000,35.594780,15.843302
30%,30%,ACO,0.900000,10.563000,0.929940,19.660000,10.563000,0.929940,19.660000,31.152940,12.309646
30%,30%,PSO,0.900000,13.746600,5.328900,12.030000,13.746600,5.328900,12.030000,31.105500,18.370950
30%,30%,GA,0.900000,14.136360,2.620200,9.150000,14.136360,2.620200,9.150000,25.906560,15.995904
40%,40%,ACO,0.900000,10.395960,1.036080,19.950000,10.395960,1.036080,19.950000,31.382040,12.283836
40%,40%,PSO,0.900000,13.524600,5.328900,12.030000,13.524600,5.328900,12.030000,30.883500,18.171150
40%,40%,GA,0.900000,12.597060,5.392020,9.910000,12.597060,5.392020,9.910000,27.899080,17.181172
