x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,ACO,0.900000,10.320000,0.894000,19.080000,10.320000,0.894000,19.080000,30.294000,12.000600
10-20,10,PSO,0.900000,13.050000,0.894000,19.080000,13.050000,0.894000,19.080000,33.024000,14.457600
10-20,10,GA,0.900000,12.004140,5.548140,11.450000,12.004140,5.548140,11.450000,29.002280,16.942052
20-40,20,ACO,0.900000,10.320000,0.894000,19.080000,10.320000,0.894000,19.080000,30.294000,12.000600
20-40,20,PSO,0.900000,13.122000,0.894000,19.080000,13.122000,0.894000,19.080000,33.096000,14.522400
20-40,20,GA,0.900000,13.197600,1.142340,19.820000,13.197600,1.142340,19.820000,34.159940,14.887946
40-60,40,ACO,0.900000,10.320000,0.894000,19.080000,10.320000,0.894000,19.080000,30.294000,12.000600
40-60,40,PSO,0.900000,13.599900,5.298360,9.170000,13.599900,5.298360,9.170000,28.068260,17.925434
40-60,40,GA,0.900000,12.606000,0.894000,19.080000,12.606000,0.894000,19.080000,32.580000,14.058000
60-80,60,ACO,0.900000,10.320000,0.894000,19.080000,10.320000,0.894000,19.080000,30.294000,12.000600
60-80,60,PSO,0.900000,13.179900,5.298360,9.170000,13.179900,5.298360,9.170000,27.648260,17.547434
60-80,60,GA,0.900000,12.756480,3.101580,9.030000,12.756480,3.101580,9.030000,24.888060,15.175254
