x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
very_low,very_low,ACO,0.900000,8.901000,0.929940,19.660000,8.901000,0.929940,19.660000,29.490940,10.813846
very_low,very_low,PSO,0.900000,10.940520,5.231760,12.340000,10.940520,5.231760,12.340000,28.512280,15.789052
very_low,very_low,GA,0.900000,11.131380,2.562660,9.080000,11.131380,2.562660,9.080000,22.774040,13.232636
low,low,ACO,0.900000,10.347000,0.929940,19.660000,10.347000,0.929940,19.660000,30.936940,12.115246
low,low,PSO,0.900000,16.065000,0.929940,19.660000,16.065000,0.929940,19.660000,36.654940,17.261446
low,low,GA,0.900000,13.122120,2.678580,9.220000,13.122120,2.678580,9.220000,25.020700,15.142630
medium,medium,ACO,0.900000,15.765000,0.929940,19.660000,15.765000,0.929940,19.660000,36.354940,16.991446
medium,medium,PSO,0.900000,21.851640,5.278380,9.830000,21.851640,5.278380,9.830000,36.960020,25.400018
medium,medium,GA,0.900000,23.385960,1.036080,19.950000,23.385960,1.036080,19.950000,44.372040,23.974836
high,high,ACO,0.900000,31.803000,0.929940,19.660000,31.803000,0.929940,19.660000,52.392940,31.425646
high,high,PSO,0.900000,37.907640,5.278380,9.830000,37.907640,5.278380,9.830000,53.016020,39.850418
high,high,GA,0.900000,37.101360,5.374440,12.540000,37.101360,5.374440,12.540000,55.015800,39.482220
