Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N10_C10_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,234.817,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,14.58,0.7973669865280615,8->7->5,5->10
N10_C1_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,213.828,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C2_I1,10,52,2,8,10,0.9,0.5,20.5,0.9,True,204.595,5,1,5_S001,near,0.0076,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9741587232446856,8->5,5->10
N10_C3_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,223.26,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C4_I1,10,46,2,8,10,0.9,1.0,20.5,0.9,True,221.944,5,1,5_S001,near,0.0087,0.001577,0.002959,0.2661,0.0532,0.2661,0.056159,9.32,0.9771942264288743,8->7->5,5->10
N10_C5_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,244.37,5,1,5_S001,near,0.0113,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9754330856478606,8->7->6->5,5->10
N10_C6_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,222.677,5,1,5_S001,near,0.0259,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9794015542415802,8->7->5,5->10
N10_C7_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,209.517,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C8_I1,10,46,2,8,10,0.1,0.5,20.5,0.1,True,210.163,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C9_I1,10,46,2,8,10,0.9,0.5,15.0,0.9,True,214.479,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N1000_C10_I1,1000,3252,50,988,1000,0.9,0.5,20.5,0.9,True,25758.88,995,1,995_S001,near,0.1466000000000001,0.001563,0.002861,0.12,0.024,0.12,0.026861,18.32,0.8979868007997975,988->877->874->865->857->856->851->813->810->812->805->786->762->761->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->467->450->436->430->408->393->387->372->375->371->362->373->356->350->353->348->346->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->230->229->217->228->210->206->209->201->198->196->193->190->183->178->174->168->164->163->162->155->169->153->147->132->130->120->117->112->105->96->88->50->48->47->43->42->41->40->56->38->55->37->31->25->36->46->35->23->21->1->5->6->10->11->15->24->19->28->22->30->34->54->53->89->49->85->100->119->114->122->123->125->133->134->143->146->156->166->158->173->185->197->204->202->260->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->816->821->826->830->985->991->995,995->1000
N1000_C1_I1,1000,3252,50,988,1000,0.9,0.5,20.5,0.9,True,26935.668,995,1,995_S001,near,0.1466000000000001,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,0.7317941444458372,988->877->874->865->857->856->851->813->810->812->805->786->762->761->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->467->450->436->430->408->393->387->372->375->371->362->373->356->350->353->348->346->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->230->229->217->228->210->206->209->201->198->196->193->190->183->178->174->168->164->163->162->155->169->153->147->132->130->120->117->112->105->96->88->50->48->47->43->42->41->40->56->38->55->37->31->25->36->46->35->23->21->1->5->6->10->11->15->24->19->28->22->30->34->54->53->89->49->85->100->119->114->122->123->125->133->134->143->146->156->166->158->173->185->197->204->202->260->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->816->821->826->830->985->991->995,995->1000
N1000_C2_I1,1000,3584,50,988,1000,0.9,0.5,20.5,0.9,True,18141.556,995,1,995_S001,near,0.12340000000000001,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,0.7043842461868179,988->969->877->874->661->659->657->467->450->436->430->408->393->254->235->233->232->230->229->217->228->210->206->110->105->96->88->50->48->47->85->100->119->114->122->123->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->784->793->816->991->995,995->1000
