x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.0,8.0,Heuristic,0.900000,12.276000,1.992000,8.290000,0.614825,0.099766,0.040538,0.755129,0.755129
8.0,8.0,ACO,0.900000,12.468000,1.620000,10.630000,0.624441,0.081135,0.051980,0.757556,0.757556
8.0,8.0,PSO,0.900000,17.466000,3.222000,9.340000,0.874758,0.161369,0.045672,1.081799,1.081799
8.0,8.0,GA,0.900000,17.400000,3.018000,15.090000,0.871452,0.151152,0.073790,1.096394,1.096394
10.0,10.0,Heuristic,0.900000,12.300000,1.620000,12.730000,0.616027,0.081135,0.064883,0.762045,0.762045
10.0,10.0,ACO,0.900000,12.300000,1.620000,12.730000,0.616027,0.081135,0.064883,0.762045,0.762045
10.0,10.0,PSO,0.900000,18.420000,2.508000,14.520000,0.922538,0.125609,0.074006,1.122153,1.122153
10.0,10.0,GA,0.900000,19.944000,1.992000,10.260000,0.998865,0.099766,0.052294,1.150925,1.150925
15.0,15.0,Heuristic,0.900000,12.276000,1.992000,15.450000,0.628250,0.101945,0.077560,0.807755,0.807755
15.0,15.0,ACO,0.900000,12.300000,1.620000,18.630000,0.629478,0.082907,0.093524,0.805909,0.805909
15.0,15.0,PSO,0.900000,17.682000,3.774000,15.950000,0.904913,0.193142,0.080070,1.178126,1.178126
15.0,15.0,GA,0.900000,18.810000,2.346000,16.310000,0.962641,0.120061,0.081878,1.164580,1.164580
