x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
15%,15%,Heuristic,0.900000,12.300000,1.620000,10.630000,0.616027,0.081135,0.051980,0.749142,0.749142
15%,15%,ACO,0.900000,12.468000,1.620000,10.630000,0.624441,0.081135,0.051980,0.757556,0.757556
15%,15%,PSO,0.900000,50.790000,1.620000,10.630000,2.543740,0.081135,0.051980,2.676855,2.676855
15%,15%,GA,0.900000,52.800000,2.346000,9.700000,2.644407,0.117496,0.047433,2.809336,2.809336
20%,20%,Heuristic,0.900000,12.300000,1.620000,10.630000,0.616027,0.081135,0.051980,0.749142,0.749142
20%,20%,ACO,0.900000,12.468000,1.620000,10.630000,0.624441,0.081135,0.051980,0.757556,0.757556
20%,20%,PSO,0.900000,50.898000,1.620000,10.630000,2.549149,0.081135,0.051980,2.682264,2.682264
20%,20%,GA,0.900000,54.024000,2.346000,9.500000,2.705710,0.117496,0.046455,2.869660,2.869660
5%,5%,Heuristic,0.900000,12.300000,1.620000,10.500000,0.616027,0.081135,0.051345,0.748507,0.748507
5%,5%,ACO,0.900000,12.468000,1.620000,10.500000,0.624441,0.081135,0.051345,0.756921,0.756921
5%,5%,PSO,0.900000,16.770000,3.222000,10.100000,0.839900,0.161369,0.049389,1.050658,1.050658
5%,5%,GA,0.900000,18.402000,3.018000,15.090000,0.921636,0.151152,0.073790,1.146578,1.146578
