x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
high,High,Heuristic,0.900000,37.182000,1.992000,8.290000,0.788422,0.042239,0.040538,0.871199,0.871199
high,High,ACO,0.900000,37.554000,1.992000,8.290000,0.796310,0.042239,0.040538,0.879088,0.879088
high,High,PSO,0.900000,66.276000,1.992000,8.290000,1.405344,0.042239,0.040538,1.488121,1.488121
high,High,GA,0.900000,74.982000,2.244000,13.930000,1.589949,0.047583,0.068117,1.705649,1.705649
low,Low,Heuristic,0.900000,11.370000,1.620000,10.630000,0.601587,0.085714,0.051980,0.739282,0.739282
low,Low,ACO,0.900000,11.490000,1.620000,10.630000,0.607937,0.085714,0.051980,0.745631,0.745631
low,Low,PSO,0.900000,16.218000,1.620000,10.630000,0.858095,0.085714,0.051980,0.995790,0.995790
low,Low,GA,0.900000,18.114000,2.244000,13.930000,0.958413,0.118730,0.068117,1.145260,1.145260
medium,Medium,Heuristic,0.900000,17.430000,1.620000,10.630000,0.684424,0.063613,0.051980,0.800017,0.800017
medium,Medium,ACO,0.900000,17.448000,1.620000,10.630000,0.685131,0.063613,0.051980,0.800724,0.800724
medium,Medium,PSO,0.900000,43.848000,1.620000,10.630000,1.721780,0.063613,0.051980,1.837373,1.837373
medium,Medium,GA,0.900000,29.100000,3.222000,9.340000,1.142670,0.126518,0.045672,1.314861,1.314861
