x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
8.29,8.29,Heuristic,0.500000,12.276000,1.992000,8.290000,6.138000,0.996000,4.145000,11.279000,11.279000
8.29,8.29,ACO,0.500000,12.432000,1.992000,8.290000,6.216000,0.996000,4.145000,11.357000,11.357000
8.29,8.29,PSO,0.500000,38.280000,1.992000,8.290000,19.140000,0.996000,4.145000,24.281000,24.281000
8.29,8.29,GA,0.500000,18.870000,1.992000,8.290000,9.435000,0.996000,4.145000,14.576000,14.576000
10.26,10.26,Heuristic,0.500000,12.276000,1.992000,10.260000,6.138000,0.996000,5.130000,12.264000,12.264000
10.26,10.26,ACO,0.500000,12.420000,1.992000,10.260000,6.210000,0.996000,5.130000,12.336000,12.336000
10.26,10.26,PSO,0.500000,15.462000,1.992000,10.260000,7.731000,0.996000,5.130000,13.857000,13.857000
10.26,10.26,GA,0.500000,19.176000,1.992000,10.260000,9.588000,0.996000,5.130000,15.714000,15.714000
12.86,12.86,Heuristic,0.500000,12.276000,1.992000,12.860000,6.138000,0.996000,6.430000,13.564000,13.564000
12.86,12.86,ACO,0.500000,12.276000,1.992000,12.860000,6.138000,0.996000,6.430000,13.564000,13.564000
12.86,12.86,PSO,0.500000,37.650000,1.992000,12.860000,18.825000,0.996000,6.430000,26.251000,26.251000
12.86,12.86,GA,0.500000,20.580000,1.992000,12.860000,10.290000,0.996000,6.430000,17.716000,17.716000
15.45,15.45,Heuristic,0.500000,12.276000,1.992000,15.450000,6.138000,0.996000,7.725000,14.859000,14.859000
15.45,15.45,ACO,0.500000,12.276000,1.992000,15.450000,6.138000,0.996000,7.725000,14.859000,14.859000
15.45,15.45,PSO,0.500000,39.702000,1.992000,15.450000,19.851000,0.996000,7.725000,28.572000,28.572000
15.45,15.45,GA,0.500000,21.624000,1.992000,15.450000,10.812000,0.996000,7.725000,19.533000,19.533000
