x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0,10,ACO,0.500000,12.276000,5.767620,4.600000,6.138000,2.883810,2.300000,11.321810,2.455354
10.0,10,PSO,0.500000,17.064000,5.767620,4.600000,8.532000,2.883810,2.300000,13.715810,2.495255
10.0,10,GA,0.500000,20.286000,5.767620,4.600000,10.143000,2.883810,2.300000,15.326810,2.522105
15.0,15,ACO,0.500000,12.276000,5.222400,5.580000,6.138000,2.611200,2.790000,11.539200,2.940191
15.0,15,PSO,0.500000,38.148000,5.222400,5.580000,19.074000,2.611200,2.790000,24.475200,3.155791
15.0,15,GA,0.500000,20.742000,5.222400,5.580000,10.371000,2.611200,2.790000,15.772200,3.010741
20.5,20.5,ACO,0.500000,12.276000,4.128720,7.450000,6.138000,2.064360,3.725000,11.927360,3.864810
20.5,20.5,PSO,0.500000,16.944000,4.128720,7.450000,8.472000,2.064360,3.725000,14.261360,3.903710
20.5,20.5,GA,0.500000,19.716000,4.128720,7.450000,9.858000,2.064360,3.725000,15.647360,3.926810
25.0,25,ACO,0.500000,12.276000,3.216240,9.040000,6.138000,1.608120,4.520000,12.266120,4.651141
25.0,25,PSO,0.500000,16.794000,3.216240,9.040000,8.397000,1.608120,4.520000,14.525120,4.688791
25.0,25,GA,0.500000,22.872000,3.216240,9.040000,11.436000,1.608120,4.520000,17.564120,4.739441
