x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10.0-22.5,10.0-22.5,ACO,0.500000,12.392820,1.796460,8.770000,6.196410,0.898230,4.385000,11.479640,4.503244
10.0-22.5,10.0-22.5,PSO,0.500000,17.042820,1.796460,8.770000,8.521410,0.898230,4.385000,13.804640,4.541994
10.0-22.5,10.0-22.5,GA,0.500000,20.114820,1.796460,8.770000,10.057410,0.898230,4.385000,15.340640,4.567594
12.5-25.0,12.5-25.0,ACO,0.500000,12.392820,1.796460,11.690000,6.196410,0.898230,5.845000,12.939640,5.963244
12.5-25.0,12.5-25.0,PSO,0.500000,18.380820,1.796460,11.690000,9.190410,0.898230,5.845000,15.933640,6.013144
12.5-25.0,12.5-25.0,GA,0.500000,19.286820,1.796460,11.690000,9.643410,0.898230,5.845000,16.386640,6.020694
15.0-30.0,15.0-30.0,ACO,0.500000,12.392820,1.796460,14.950000,6.196410,0.898230,7.475000,14.569640,7.593244
15.0-30.0,15.0-30.0,PSO,0.500000,38.324820,1.796460,14.950000,19.162410,0.898230,7.475000,27.535640,7.809344
15.0-30.0,15.0-30.0,GA,0.500000,20.090820,1.796460,14.950000,10.045410,0.898230,7.475000,18.418640,7.657394
8.0-20.5,8.0-20.5,ACO,0.500000,12.560820,1.796460,6.470000,6.280410,0.898230,3.235000,10.413640,3.354644
8.0-20.5,8.0-20.5,PSO,0.500000,17.426820,1.796460,6.470000,8.713410,0.898230,3.235000,12.846640,3.395194
8.0-20.5,8.0-20.5,GA,0.500000,19.424820,1.796460,6.470000,9.712410,0.898230,3.235000,13.845640,3.411844
