x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10%,10%,ACO,0.500000,13.287660,3.468420,7.970000,6.643830,1.734210,3.985000,12.363040,4.124634
10%,10%,PSO,0.500000,40.035660,3.468420,7.970000,20.017830,1.734210,3.985000,25.737040,4.347534
10%,10%,GA,0.500000,20.151660,3.468420,7.970000,10.075830,1.734210,3.985000,15.795040,4.181834
20%,20%,ACO,0.500000,13.223820,3.322320,7.820000,6.611910,1.661160,3.910000,12.183070,4.047885
20%,20%,PSO,0.500000,39.971820,3.322320,7.820000,19.985910,1.661160,3.910000,25.557070,4.270785
20%,20%,GA,0.500000,20.087820,3.322320,7.820000,10.043910,1.661160,3.910000,15.615070,4.105085
30%,30%,ACO,0.500000,13.127700,3.102960,7.620000,6.563850,1.551480,3.810000,11.925330,3.945256
30%,30%,PSO,0.500000,39.875700,3.102960,7.620000,19.937850,1.551480,3.810000,25.299330,4.168156
30%,30%,GA,0.500000,19.991700,3.102960,7.620000,9.995850,1.551480,3.810000,15.357330,4.002456
40%,40%,ACO,0.500000,13.069140,2.962200,7.440000,6.534570,1.481100,3.720000,11.735670,3.853595
40%,40%,PSO,0.500000,39.817140,2.962200,7.440000,19.908570,1.481100,3.720000,25.109670,4.076495
40%,40%,GA,0.500000,19.933140,2.962200,7.440000,9.966570,1.481100,3.720000,15.167670,3.910795
