x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10-20,ACO,0.500000,12.585420,1.825260,6.860000,6.292710,0.912630,3.430000,10.635340,3.550089
10-20,10-20,PSO,0.500000,39.333420,1.825260,6.860000,19.666710,0.912630,3.430000,24.009340,3.772989
10-20,10-20,GA,0.500000,19.449420,1.825260,6.860000,9.724710,0.912630,3.430000,14.067340,3.607289
20-40,20-40,ACO,0.500000,12.562140,1.797960,6.350000,6.281070,0.898980,3.175000,10.355050,3.294668
20-40,20-40,PSO,0.500000,39.310140,1.797960,6.350000,19.655070,0.898980,3.175000,23.729050,3.517568
20-40,20-40,GA,0.500000,19.426140,1.797960,6.350000,9.713070,0.898980,3.175000,13.787050,3.351868
40-60,40-60,ACO,0.500000,12.535380,1.767240,5.880000,6.267690,0.883620,2.940000,10.091310,3.059189
40-60,40-60,PSO,0.500000,39.283380,1.767240,5.880000,19.641690,0.883620,2.940000,23.465310,3.282088
40-60,40-60,GA,0.500000,19.399380,1.767240,5.880000,9.699690,0.883620,2.940000,13.523310,3.116389
60-80,60-80,ACO,0.500000,12.528000,1.761720,5.410000,6.264000,0.880860,2.705000,9.849860,2.824081
60-80,60-80,PSO,0.500000,39.276000,1.761720,5.410000,19.638000,0.880860,2.705000,23.223860,3.046981
60-80,60-80,GA,0.500000,19.392000,1.761720,5.410000,9.696000,0.880860,2.705000,13.281860,2.881281
