x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
High,High,ACO,0.500000,28.680000,4.668000,8.880000,14.340000,2.334000,4.440000,21.114000,21.114000
High,High,PSO,0.500000,34.764000,4.668000,8.880000,17.382000,2.334000,4.440000,24.156000,24.156000
High,High,GA,0.500000,32.832000,4.668000,8.880000,16.416000,2.334000,4.440000,23.190000,23.190000
Low,Low,ACO,0.500000,8.214000,4.668000,8.880000,4.107000,2.334000,4.440000,10.881000,10.881000
Low,Low,PSO,0.500000,11.736000,4.668000,8.880000,5.868000,2.334000,4.440000,12.642000,12.642000
Low,Low,GA,0.500000,12.552000,4.668000,8.880000,6.276000,2.334000,4.440000,13.050000,13.050000
Medium,Medium,ACO,0.500000,13.218000,4.668000,8.880000,6.609000,2.334000,4.440000,13.383000,13.383000
Medium,Medium,PSO,0.500000,17.004000,4.668000,8.880000,8.502000,2.334000,4.440000,15.276000,15.276000
Medium,Medium,GA,0.500000,16.860000,4.668000,8.880000,8.430000,2.334000,4.440000,15.204000,15.204000
Very Low,Very Low,ACO,0.500000,7.218000,4.668000,8.880000,3.609000,2.334000,4.440000,10.383000,10.383000
Very Low,Very Low,PSO,0.500000,9.732000,4.668000,8.880000,4.866000,2.334000,4.440000,11.640000,11.640000
Very Low,Very Low,GA,0.500000,9.492000,4.668000,8.880000,4.746000,2.334000,4.440000,11.520000,11.520000
