method,dat_file,nodes,edges,parking_lots,S,D,Alpha,Wmax,Cmax,w,feasible,parking_node,drive_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,non_normalized_drive_time_min,non_normalized_walk_time_min,non_normalized_travel_time_min,non_normalized_parking_cost,non_normalized_objective,runtime_ms,drive_path,walk_path
HEURISTIC,N10_C1_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.029,8->7,7->10
HEURISTIC,N10_C2_I1.dat,10,53,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.043,8->7,7->10
HEURISTIC,N10_C3_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.067,8->7,7->10
HEURISTIC,N10_C4_I1.dat,10,47,3,8,10,0.9,1.0,20.5,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.04,8->7,7->10
HEURISTIC,N10_C5_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0054,0.3165,0.0633,8.0,4.5098,0.324,3.7979999999999996,4.122,8.0,4.5098,0.038,8->7,7->10
HEURISTIC,N10_C6_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0142,0.3165,0.0633,8.0,4.985,0.8520000000000001,3.7979999999999996,4.65,8.0,4.985,0.038,8->7,7->10
HEURISTIC,N10_C7_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.064,8->7,7->10
HEURISTIC,N10_C8_I1.dat,10,47,3,8,10,0.1,0.5,20.5,0.1,1,7,0.0041,0.3165,0.0633,8.0,7.6044,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,7.6044,0.043,8->7,7->10
HEURISTIC,N10_C9_I1.dat,10,47,3,8,10,0.9,0.5,15.0,0.9,1,7,0.0041,0.3165,0.0633,8.0,4.4396,0.24600000000000002,3.7979999999999996,4.0440000000000005,8.0,4.4396,0.039,8->7,7->10
HEURISTIC,N10_C10_I1.dat,10,47,3,8,10,0.9,0.5,20.5,0.9,1,7,0.0041,0.3165,0.0633,15.0,5.1396,0.24600000000000002,3.7979999999999996,4.0440000000000005,15.0,5.1396,0.058,8->7,7->10
HEURISTIC,N20_C1_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,19,0.0251,0.12,0.024,18.28,4.4794,1.506,1.44,2.946,18.28,4.4794,0.032,1->5->6->10->11->15->18->19,19->20
HEURISTIC,N20_C2_I1.dat,20,68,2,1,20,0.9,0.5,20.5,0.9,1,19,0.023,0.12,0.024,18.28,4.366,1.38,1.44,2.82,18.28,4.366,0.099,1->5->6->10->13->19,19->20
HEURISTIC,N20_C3_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,19,0.0251,0.12,0.024,18.28,4.4794,1.506,1.44,2.946,18.28,4.4794,0.08,1->5->6->10->11->15->18->19,19->20
HEURISTIC,N20_C4_I1.dat,20,62,2,1,20,0.9,1.0,20.5,0.9,1,19,0.0251,0.12,0.024,18.28,4.4794,1.506,1.44,2.946,18.28,4.4794,0.082,1->5->6->10->11->15->18->19,19->20
HEURISTIC,N20_C5_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,18,0.0308,0.35000000000000003,0.07,16.87,7.1302,1.848,4.2,6.048,16.87,7.1302,0.082,1->5->6->10->11->15->18,18->20
HEURISTIC,N20_C6_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,18,0.0607,0.35000000000000003,0.07,16.87,8.7448,3.642,4.2,7.8420000000000005,16.87,8.7448,0.078,1->5->6->10->11->15->18,18->20
HEURISTIC,N20_C7_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,19,0.0251,0.12,0.024,18.28,4.4794,1.506,1.44,2.946,18.28,4.4794,0.077,1->5->6->10->11->15->18->19,19->20
HEURISTIC,N20_C8_I1.dat,20,62,2,1,20,0.1,0.5,20.5,0.1,1,18,0.0205,0.35000000000000003,0.07,16.87,15.726,1.23,4.2,5.430000000000001,16.87,15.726,0.082,1->5->6->10->11->15->18,18->20
HEURISTIC,N20_C9_I1.dat,20,62,2,1,20,0.9,0.5,15.0,0.9,1,19,0.0251,0.12,0.024,11.02,3.7534,1.506,1.44,2.946,11.02,3.7534,0.082,1->5->6->10->11->15->18->19,19->20
HEURISTIC,N20_C10_I1.dat,20,62,2,1,20,0.9,0.5,20.5,0.9,1,18,0.0205,0.35000000000000003,0.07,15.72,6.459,1.23,4.2,5.430000000000001,15.72,6.459,0.102,1->5->6->10->11->15->18,18->20
HEURISTIC,N30_C1_I1.dat,30,142,2,25,30,0.9,0.5,20.5,0.9,1,29,0.0247,0.12,0.024,19.1,4.5398,1.482,1.44,2.922,19.1,4.5398,0.052,25->23->1->6->11->15->18->20->26->27->29,29->30
HEURISTIC,N30_C2_I1.dat,30,150,2,25,30,0.9,0.5,20.5,0.9,1,29,0.021899999999999996,0.12,0.024,19.1,4.388599999999999,1.3139999999999998,1.44,2.7539999999999996,19.1,4.388599999999999,0.154,25->23->1->6->27->29,29->30
HEURISTIC,N30_C3_I1.dat,30,144,3,25,30,0.9,0.5,20.5,0.9,1,26,0.0194,0.3975,0.0795,8.0,6.1406,1.1640000000000001,4.7700000000000005,5.934,8.0,6.1406,0.18,25->23->1->6->11->15->18->20->26,26->30
HEURISTIC,N30_C4_I1.dat,30,142,2,25,30,0.9,1.0,20.5,0.9,1,29,0.0247,0.12,0.024,19.1,4.5398,1.482,1.44,2.922,19.1,4.5398,0.144,25->23->1->6->11->15->18->20->26->27->29,29->30
