scenario_id,scenario_name,parameter_name,parameter_value,method,dat_file,nodes,edges,parking_lots,source,destination,S,D,Alpha,Wmax,Cmax,w,feasible,solver_status,parking_node,driving_path,walking_edge,full_path,selected_edges,drive_time_hr,walk_distance_km,walk_time_hr,travel_time_hr,parking_cost,objective,path_reconstruction_status,runtime_ms,drive_path,walk_path,case_name,OptimizationSource,HistoricalOPLRuntime,HistoricalOPLStatus,OPLVerificationStatus
C1,Baseline,baseline,Baseline,Optimization,N10_C1_I1.dat,10,47,3,8,10,8,10,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,5,8->7->5,5->10,8->7->5->10,8->7;7->5;5->10,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,shortest_path,0.033,8->7;7->5,5->10,N10_C1_I1,ExactShortestPathEnumeration,204,solved,exact_match
C1,Baseline,baseline,Baseline,Optimization,N20_C1_I1.dat,20,62,2,1,20,1,20,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,19,1->5->6->10->11->15->18->19,19->20,1->5->6->10->11->15->18->19->20,1->5;5->6;6->10;10->11;11->15;15->18;18->19;19->20,0.0251,0.12,0.024,0.0491,18.28,4.4794,shortest_path,0.026,1->5;5->6;6->10;10->11;11->15;15->18;18->19,19->20,N20_C1_I1,ExactShortestPathEnumeration,244,solved,mismatch
C1,Baseline,baseline,Baseline,Optimization,N30_C1_I1.dat,30,142,2,25,30,25,30,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,29,25->23->1->6->11->15->18->20->26->27->29,29->30,25->23->1->6->11->15->18->20->26->27->29->30,25->23;23->1;1->6;6->11;11->15;15->18;18->20;20->26;26->27;27->29;29->30,0.0247,0.12,0.024,0.0487,19.1,4.5398,shortest_path,0.048,25->23;23->1;1->6;6->11;11->15;15->18;18->20;20->26;26->27;27->29,29->30,N30_C1_I1,ExactShortestPathEnumeration,00:09:18:46,runtime_only_user_supplied,historical_runtime_only_user_supplied
C1,Baseline,baseline,Baseline,Optimization,N40_C1_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.056,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_C1_I1,ExactShortestPathEnumeration,51:52:15:79,runtime_only_user_supplied,historical_runtime_only_user_supplied
,,edge_density,180,Optimization,N40_PS_edge_density_baseline_180_I1.dat,40,184,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,19.16,4.67,shortest_path,0.060,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_edge_density_baseline_180_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,edge_density,192,Optimization,N40_PS_edge_density_dense_192_I1.dat,40,196,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->10->9->38->39,39->40,29->10->9->38->39->40,29->10;10->9;9->38;38->39;39->40,0.0234,0.12,0.024,0.0474,19.16,4.4756,shortest_path,0.061,29->10;10->9;9->38;38->39,39->40,N40_PS_edge_density_dense_192_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,edge_density,204,Optimization,N40_PS_edge_density_denser_204_I1.dat,40,208,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->10->9->38->39,39->40,29->10->9->38->39->40,29->10;10->9;9->38;38->39;39->40,0.0232,0.12,0.024,0.0472,19.16,4.4648,shortest_path,0.073,29->10;10->9;9->38;38->39,39->40,N40_PS_edge_density_denser_204_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,edge_density,216,Optimization,N40_PS_edge_density_densest_216_I1.dat,40,220,2,29,40,29,40,0.9,0.5,20.5,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->10->6->5->39,39->40,29->10->6->5->39->40,29->10;10->6;6->5;5->39;39->40,0.022,0.12,0.024,0.046,19.16,4.4,shortest_path,0.143,29->10;10->6;6->5;5->39,39->40,N40_PS_edge_density_densest_216_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_budget_cmax,10.0,Optimization,N40_PS_parking_budget_Cmax100_I1.dat,40,184,2,29,40,29,40,0.9,0.5,10,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,8,3.554,shortest_path,0.082,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_budget_Cmax100_I1,ExactShortestPathEnumeration,,,no_historical_reference
,,parking_budget_cmax,15.0,Optimization,N40_PS_parking_budget_Cmax150_I1.dat,40,184,2,29,40,29,40,0.9,0.5,15,0.9,TRUE,optimal_exact_shortest_path_enumeration,39,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39;39->40,0.027,0.12,0.024,0.051,8,3.554,shortest_path,0.080,29->33;33->26;26->20;20->18;18->15;15->14;14->5;5->1;1->21;21->23;23->36;36->31;31->39,39->40,N40_PS_parking_budget_Cmax150_I1,ExactShortestPathEnumeration,,,no_historical_reference
