scenario_id,scenario_name,parameter_name,parameter_value,method,dat_file,nodes,edges,parking_lots,source,destination,S,D,Alpha,Wmax,Cmax,w,feasible,solver_status,parking_node,driving_path,walking_edge,full_path,selected_edges,drive_time_hr,walk_distance_km,walk_time_hr,travel_time_hr,parking_cost,objective,path_reconstruction_status,runtime_ms,drive_path,walk_path
C10,15.0-30.0,parking_cost_variation_mode,15.0-30.0,Optimization,N10_C10_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,15.39,4.8816,success,427,8->7;7->5,5->10
C1,Baseline,baseline,Baseline,Optimization,N10_C1_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,success,204,8->7;7->5,5->10
C2,Dense,edge_density,Dense,Optimization,N10_C2_I1.dat,10,52,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->5,5->10,8->5->10,5->10;8->5,0.0076,0.2661,0.0532,0.0608,10.77,4.3602,success,280,8->5,5->10
C3,Higher supply,parking_supply,Higher,Optimization,N10_C3_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,success,241,8->7;7->5,5->10
C4,1.00 km,maximum_walking_distance,1.0,Optimization,N10_C4_I1.dat,10,46,2,8,10,8,10,0.9,1,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,success,205,8->7;7->5,5->10
C5,Medium traffic,traffic_level,Medium,Optimization,N10_C5_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->6->5,5->10,8->7->6->5->10,5->10;6->5;7->6;8->7,0.0113,0.2661,0.0532,0.0645,10.77,4.56,success,239,8->7;7->6;6->5,5->10
C6,High traffic,traffic_level,High,Optimization,N10_C6_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0259,0.2661,0.0532,0.0791,10.77,5.3484,success,232,8->7;7->5,5->10
C7,Alpha 0.80,objective_weight_alpha,0.8,Optimization,N10_C7_I1.dat,10,46,2,8,10,8,10,0.9,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,success,249,8->7;7->5,5->10
C8,Alpha 0.20,objective_weight_alpha,0.2,Optimization,N10_C8_I1.dat,10,46,2,8,10,8,10,0.1,0.5,20.5,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,10.0644,success,278,8->7;7->5,5->10
C9,Cmax 15.0,parking_budget_cmax,15.0,Optimization,N10_C9_I1.dat,10,46,2,8,10,8,10,0.9,0.5,15,,TRUE,solved,5,8->7->5,5->10,8->7->5->10,5->10;7->5;8->7,0.0087,0.2661,0.0532,0.0619,10.77,4.4196,success,220,8->7;7->5,5->10
