parking_node_id,x,y,parking_cost,walk_distance_m,walk_distance_km,walk_time_hr,feasible,hop_from_source,source_node,destination_node
1013323719,7409.16,1447.5,18.67,492.7623,0.4928,0.0986,1,54,7935712602,2296395497
444672672,7681.54,1779.15,15.84,484.6928,0.4847,0.0969,1,58,7935712602,2296395497
442760443,7922.84,1800.82,18.44,460.1713,0.4602,0.092,1,61,7935712602,2296395497
292190555,7618.59,1702.42,17.04,451.6214,0.4516,0.0903,1,58,7935712602,2296395497
13252209958,7603.04,1680.58,19.95,444.2783,0.4443,0.0889,1,59,7935712602,2296395497
442760431,7567.7,1634.07,20.06,435.4253,0.4354,0.0871,1,58,7935712602,2296395497
442760435,7472.46,1337.86,13.45,418.0085,0.418,0.0836,1,56,7935712602,2296395497
442760432,7511.89,1512.31,15.74,415.1924,0.4152,0.083,1,57,7935712602,2296395497
12969191289,7476.56,1357.23,11.52,414.1779,0.4142,0.0828,1,56,7935712602,2296395497
1013323718,7483.18,1388.28,13.71,409.9148,0.4099,0.082,1,55,7935712602,2296395497
387526911,7492.5,1431.8,17.52,408.0025,0.408,0.0816,1,56,7935712602,2296395497
442760444,7873.87,1730.41,8.88,388.9735,0.389,0.0778,1,60,7935712602,2296395497
306013433,7826.82,1660.3,19.65,324.8036,0.3248,0.065,1,59,7935712602,2296395497
292190553,7771.19,1579.85,11.22,266.2621,0.2663,0.0533,1,59,7935712602,2296395497
442760434,7724.11,1508.07,20.25,235.1979,0.2352,0.047,1,59,7935712602,2296395497
442760433,7717.14,1469.82,18.62,215.4717,0.2155,0.0431,1,58,7935712602,2296395497
306013441,7700.05,1390.37,10.64,196.4998,0.1965,0.0393,1,57,7935712602,2296395497
292190541,7842.62,1386.56,19.13,65.5138,0.0655,0.0131,1,58,7935712602,2296395497
387552359,6450.28,3751.86,17.38,2807.5838,2.8076,0.5615,0,54,7935712602,2296395497
1588088195,7225.45,3853.44,11.87,2598.1937,2.5982,0.5196,0,55,7935712602,2296395497
1588088186,7308.1,3740.34,20.48,2468.2329,2.4682,0.4936,0,54,7935712602,2296395497
416218655,7465.66,3744.11,11.44,2439.5877,2.4396,0.4879,0,54,7935712602,2296395497
416219955,7440.96,3726.44,11.45,2426.6431,2.4266,0.4853,0,54,7935712602,2296395497
545312773,7191.24,3658.85,19.27,2420.2607,2.4203,0.4841,0,55,7935712602,2296395497
418996080,7385.04,3685.47,15.53,2397.5561,2.3976,0.4795,0,55,7935712602,2296395497
12708745103,7220.08,3638.95,16.61,2392.9772,2.393,0.4786,0,54,7935712602,2296395497
414478048,7362.15,3668.67,10.19,2386.0996,2.3861,0.4772,0,55,7935712602,2296395497
416299634,7044.53,3568.49,17.02,2381.9684,2.382,0.4764,0,54,7935712602,2296395497
7369426378,7055.47,3546.53,16.56,2357.556,2.3576,0.4715,0,55,7935712602,2296395497
7369497883,6790.07,3408.03,8.8,2340.9793,2.341,0.4682,0,54,7935712602,2296395497
