edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1004455330,299276361,292190572,428.6,13.89,30.8567,2
-1004455331,345085054,299276361,22.7,13.8897,1.6343,2
-1004455332,9267707208,345085054,32.4,13.8901,2.3326,2
-1023951574,293815289,9442302167,106.65,13.89,7.6782,1
-1023951575,9442302167,286311094,48.3,13.8901,3.4773,1
-1023951576,1685306649,1685306650,77.77,13.89,5.599,2
-1023951577#1,1685306669,9442302168,58.79,13.8901,4.2325,2
-1023951577#3,286311090,1685306669,39.82,13.8901,2.8668,2
-1023951578#2,cluster_251817694_3144361905_4711821578_8891450375_#1more,9442302169,79.4,13.8901,5.7163,2
-1023951579#2,344967316,30255446,105.6,13.89,7.6026,2
-1023951580,4440816377,9442302170,66.48,13.8899,4.7862,1
-1023951581#1,9442302170,30255443,61.88,13.89,4.455,2
-1023951582#1,30255443,9442302171,85.72,13.8901,6.1713,1
-1023951583#1,9442302172,cluster_1475177974_293956350_8241462469,43.07,13.89,3.1008,3
-1023951584#2,30255438,9442302173,74.66,13.89,5.3751,1
-1023951585,418988966,1475151214,0.2,13.8889,0.0144,1
-1023951588#1,287354800,421138214,61.98,13.89,4.4622,2
-1023951589#1,9442302175,298509028,65.27,13.8899,4.6991,3
-1023960570#4,9442405983,8189608959,147.55,13.8899,10.6228,2
-1023960571#2,21456881,9442405983,64.88,13.89,4.671,2
-1023960572#2,21456881,297024074,40.61,11.1099,3.6553,2
-1023960574#3,21305998,376119030,71.94,16.6701,4.3155,2
-1023965122#4,1553391593,21456881,65.33,13.89,4.7034,3
-1023965123#1,299045509,418988960,50.88,13.8899,3.6631,1
-1023965124#0,299045505,2256351534,23.33,13.8902,1.6796,1
-1023965124#1,363730875,299045505,81.74,13.89,5.8848,1
-1023965124#2,443127184,363730875,118.72,13.8899,8.5472,1
-1023965124#4,9442456743,443127184,92.31,13.89,6.6458,1
-1023965125#2,299045511,9442456743,55.3,13.8899,3.9813,1
-1023965126#1,9442456744,299045511,45.28,13.89,3.2599,2
-1023965127#4,299391259,9442456746,92.12,13.89,6.6321,3
-1023965128#1,338450586,9442456745,65.69,13.89,4.7293,2
-1023965129#2,9442456746,338450586,47.55,13.8901,3.4233,2
-1023981543#2,255942725,9442600124,85.59,13.89,6.162,1
-1023981544#0,255942729,9442600125,2.48,13.8936,0.1785,1
