edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1004455330,299276361,292190572,428.6,9.1443,46.8709,2
-1004455331,345085054,299276361,22.7,9.144,2.4825,2
-1004455332,9267707208,345085054,32.4,9.1443,3.5432,2
-1023951574,293815289,9442302167,106.65,9.1442,11.6631,1
-1023951575,9442302167,286311094,48.3,9.1443,5.282,1
-1023951576,1685306649,1685306650,77.77,9.1442,8.5048,2
-1023951577#1,1685306669,9442302168,58.79,9.1444,6.4291,2
-1023951577#3,286311090,1685306669,39.82,9.1444,4.3546,2
-1023951578#2,cluster_251817694_3144361905_4711821578_8891450375_#1more,9442302169,79.4,9.1443,8.683,2
-1023951579#2,344967316,30255446,105.6,9.1442,11.5483,2
-1023951580,4440816377,9442302170,66.48,9.1442,7.2702,1
-1023951581#1,9442302170,30255443,61.88,9.1442,6.7671,2
-1023951582#1,30255443,9442302171,85.72,9.1443,9.3741,1
-1023951583#1,9442302172,cluster_1475177974_293956350_8241462469,43.07,9.1442,4.7101,3
-1023951584#2,30255438,9442302173,74.66,9.1442,8.1647,1
-1023951585,418988966,1475151214,0.2,9.1324,0.0219,1
-1023951588#1,287354800,421138214,61.98,9.1443,6.778,2
-1023951589#1,9442302175,298509028,65.27,9.1441,7.1379,3
-1023960570#4,9442405983,8189608959,147.55,9.1442,16.1359,2
-1023960571#2,21456881,9442405983,64.88,9.1442,7.0952,2
-1023960572#2,21456881,297024074,40.61,7.314,5.5524,2
-1023960574#3,21305998,376119030,71.94,10.9745,6.5552,2
-1023965122#4,1553391593,21456881,65.33,9.1442,7.1444,3
-1023965123#1,299045509,418988960,50.88,9.1442,5.5642,1
-1023965124#0,299045505,2256351534,23.33,9.1444,2.5513,1
-1023965124#1,363730875,299045505,81.74,9.1443,8.9389,1
-1023965124#2,443127184,363730875,118.72,9.1442,12.9831,1
-1023965124#4,9442456743,443127184,92.31,9.1442,10.0949,1
-1023965125#2,299045511,9442456743,55.3,9.1443,6.0475,1
-1023965126#1,9442456744,299045511,45.28,9.1443,4.9517,2
-1023965127#4,299391259,9442456746,92.12,9.1442,10.0741,3
-1023965128#1,338450586,9442456745,65.69,9.1443,7.1837,2
-1023965129#2,9442456746,338450586,47.55,9.1444,5.1999,2
-1023981543#2,255942725,9442600124,85.59,9.1442,9.36,1
-1023981544#0,255942729,9442600125,2.48,9.1479,0.2711,1
-1023981544#2,9442600124,255942729,11.27,9.144,1.2325,1
-1023981545#0,416270941,9442600126,2.35,9.144,0.257,1
-1023981545#1,9442600125,416270941,19.15,9.1443,2.0942,1
-1023981546#2,9442600127,15434363,65.84,9.1442,7.2002,2
-1023981547,4616498255,9442600128,43.19,9.1444,4.7231,2
-1023981549#3,250931960,9442600129,43.24,9.1444,4.7286,1
-1023981550#2,7041183462,250197378,35.3,9.1441,3.8604,2
-1023981551#3,1592027518,250197369,36.7,9.1441,4.0135,1
-1023981552,250197369,2372876949,25.76,9.1442,2.8171,1
-1023981553#2,9442600131,1592027518,33.35,5.4839,6.0814,2
-1023981606#1,21456894,9442600168,58.13,9.1443,6.357,1
-1023981607#1,15434374,9442600169,40.76,7.314,5.5729,1
-1023981608,9442600170,298584852,42.57,7.3141,5.8203,2
-1023987959#1,15434363,442766018,34.76,14.6278,2.3763,1
-1023987960,442766018,9442675964,10.82,14.6295,0.7396,2
-1023987962,9442675965,390111756,15.3,14.6272,1.046,2
-1023987963#1,4458644201,310718855,44.87,14.628,3.0674,2
-1023987968#1,6091317360,9442675968,25.26,9.1442,2.7624,2
-1023987969#2,9442675968,250931958,90.79,9.1442,9.9287,3
-1024001996#2,13319810691,9442789560,104.07,9.1443,11.3809,2
-1024001998#2,13319810686,9442789561,28.62,9.1441,3.1299,2
-1024001999,9442789561,9442789562,7.77,9.1444,0.8497,3
-1024002001#0,280645603,9442789568,41.14,9.1445,4.4989,2
-1024002001#2,7086411992,280645603,4.01,9.1448,0.4385,2
-1024002002#1,9442789569,1553072912,60.18,9.1442,6.5812,3
-1024002003#2,1553072912,1553050146,84.96,9.1443,9.291,2
-1024002004#1,9442789570,283678986,79.09,9.1443,8.6491,3
-1024002005#1,283678986,9442789571,61.18,9.1443,6.6905,2
-1024002006,9442789572,283678984,88.24,9.1442,9.6498,3
-1024002007#1,9442789573,293911986,11.61,9.1439,1.2697,2
-1024002008#1,297024077,9442789574,24.6,9.144,2.6903,2
-1024002010,9442789575,9442789576,33.02,9.1445,3.6109,3
-1024002011#2,9442789576,298584879,37.64,9.1441,4.1163,3
-1024002012#1,298584879,9442789577,76.63,9.1443,8.3801,2
-1024002013#2,298584936,298585000,110.38,9.1443,12.0709,2
-1024002013#5,418988937,298584936,112.37,9.1442,12.2886,2
-1024728901#1,9448986018,295406696,23.38,7.314,3.1966,2
-1024728902#2,298510756,9448986019,33.0,7.3142,4.5118,1
-1024728903#2,9448986020,292190560,73.87,7.3141,10.0997,2
-1024728904#1,cluster_2306411109_420326577,1475138181,26.46,7.3142,3.6176,1
-1024728905#1,9448986022,9448986021,4.13,9.1453,0.4516,1
-1024728906,1914277251,9448986022,1.97,9.1458,0.2154,2
-1024728907#1,345084778,cluster_290577265_541208444_8105157841,76.28,9.1443,8.3418,3
-1024728908,345084800,9448986023,18.16,9.1445,1.9859,3
-1024728909#1,9448986023,345084778,16.43,9.144,1.7968,2
-1024728918#1,1489637009,297024081,30.49,7.314,4.1687,2
-1024728920#2,297024081,9448986030,21.65,7.3139,2.9601,2
-1024728921#1,7369497883,412859589,35.78,7.3141,4.8919,1
-1025389571#2,297322814,297322754,92.26,9.1443,10.0894,1
-1025389598#1,296501324,296501314,61.67,9.1442,6.7442,1
-1025389598#3,296501590,296501324,46.21,9.1442,5.0535,1
-1025389598#5,296501518,296501590,2.63,9.1478,0.2875,1
-1034689641,2002201332,8189608931,41.86,9.1441,4.5778,2
-1035878761#1,295406696,1509407617,32.7,9.1443,3.576,1
-1035878874#0,293956353,306201745,28.55,7.3139,3.9035,1
-1035878874#3,295406694,293956353,144.21,7.3141,19.7168,1
-1037428644#2,293911983,9556765873,74.21,9.1442,8.1155,1
-1037428711,9556778321,293302282,78.35,9.1443,8.5682,2
-1037428728#1,9584102247,500375337,43.29,9.1443,4.7341,2
-1037428996#1,1677703303,306201754,168.3,7.3141,23.0104,1
-1037429000#1,306201745,287354802,67.58,7.3141,9.2397,1
-1037829043#0,338450585,338450584,37.79,7.3141,5.1667,1
-1037829043#2,12034992496,338450585,170.5,7.3141,23.3111,1
-1040978932#1,421138218,298584871,18.72,7.3139,2.5595,1
-1040978934#1,cluster_1592136105_4611993426_6835825384,9584102220,53.25,7.3141,7.2805,1
-1040978935#1,442755843,9584102221,23.9,9.1441,2.6137,1
-1040978935#6,298585001,442755843,77.53,9.1443,8.4785,1
-1040978935#9,2027440548,298585001,72.78,9.1444,7.959,1
-1040978936,9584102221,442755844,43.47,9.1443,4.7538,2
-1040978937#1,442755844,9584102222,45.5,9.1444,4.9757,1
-1040978938#0,442755851,9584102223,3.05,9.1427,0.3336,1
-1040978938#1,9584102222,442755851,20.47,9.1445,2.2385,1
-1040978939#1,300190245,1507472822,36.91,7.3141,5.0464,1
-1040978941,416217136,9584102224,12.72,7.3141,1.7391,1
-1040978942#1,9584102225,416303252,22.26,7.3142,3.0434,2
-1040978943#1,416303252,9584102226,40.45,7.314,5.5305,1
-1040978944,9584102226,9584102227,20.73,7.314,2.8343,1
-1040978945,9584102227,335820953,13.62,7.3143,1.8621,2
-1040978946,9584102228,cluster_15434382_4674699479_4674699484_8893238440_#2more,43.78,9.1443,4.7877,3
-1040978961#1,306013442,335820892,142.42,7.3141,19.4721,2
-1040978962#4,335820892,9584102237,53.6,9.1443,5.8616,1
-1040978963#1,12751665809,421138189,69.41,9.1443,7.5905,2
-1040978972#1,6835868989,9584102244,14.09,9.144,1.5409,1
-1040978973#1,1509407617,9584102245,3.64,9.1434,0.3981,1
-1040978974,9584102246,1703857751,154.7,9.1443,16.9177,1
-1040978975,9556765873,9584102247,12.36,9.1447,1.3516,2
-1040978976,9584102248,9556778321,20.22,9.1444,2.2112,1
-1051419672#3,256993290,13382612922,89.35,14.6279,6.1082,1
-1054111415,298584837,295699952,27.27,9.1443,2.9822,1
-1054111420#1,298584825,421138233,35.35,9.1443,3.8658,1
-1056114120#3,12751376391,cluster_15434382_4674699479_4674699484_8893238440_#2more,49.84,9.1443,5.4504,3
-1056115834#3,412935618,1489841890,315.72,7.3141,43.166,1
-1056322999#1,309711623,4080014777,66.53,7.314,9.0962,1
-1058012204#0,338450435,9721605084,18.72,7.3139,2.5595,1
-1058012204#1,338450430,338450435,65.47,7.3141,8.9512,1
-1058012204#5,9721605085,338450430,123.94,7.3141,16.9454,1
-106194246#12,306201777,279068742,317.94,9.1443,34.7693,2
-106194246#15,338450577,306201777,137.43,9.1442,15.0292,2
-106194246#16,cluster_292190578_8881861579_8881861591,338450577,76.06,9.1442,8.3178,2
-1065984982#2,292190566,295144863,76.05,7.314,10.3978,2
-1066272893#3,295406626,9791424086,344.67,7.3141,47.1242,1
-1071281183#1,298584827,298584825,47.38,7.3141,6.4779,1
-1073483403#1,363728132,299045502,117.43,7.3141,16.0554,1
-1073483403#2,443127183,363728132,123.13,7.3141,16.8346,1
-1073483403#4,299045505,443127183,66.21,7.3141,9.0524,1
-1073483447#0,412684299,331969126,73.99,7.314,10.1162,1
-1073483447#1,443127179,412684299,77.48,7.3141,10.5933,1
-1073483447#2,443127178,443127179,68.11,7.3141,9.3122,1
-1073483447#4,331969127,443127178,67.53,7.3141,9.2329,1
-1075196285#2,253114349,13072530262,87.35,9.1442,9.5525,1
-1075196285#3,256993773,253114349,53.69,9.1442,5.8715,1
-1075196285#4,15434359,256993773,21.6,9.144,2.3622,1
-1075196285#6,11154333393,15434359,19.69,9.1441,2.1533,1
-1075199410#2,292190555,292190553,177.39,9.1442,19.3991,1
-1075228281,306201589,13329700738,22.48,7.3141,3.0735,1
-1075228283#2,298584894,298584892,60.11,7.3142,8.2183,1
-1075228288#5,418988962,295704980,125.8,7.3141,17.1996,1
-1079306707#3,443127190,338450640,366.9,7.3141,50.1635,1
-1082414388#2,299045532,309711627,72.01,7.3141,9.8453,1
-1082414389#2,380063483,299045532,365.37,7.3141,49.9543,1
-1082414407#1,390608925,309711627,60.66,7.3142,8.2935,1
-1082414407#3,411929139,390608925,55.69,7.3141,7.6141,1
-1082414407#5,1553073708,411929139,71.96,7.3141,9.8385,1
-1082414987#2,380060469,380060486,84.74,7.3141,11.5859,1
-1082414987#6,380060187,380060469,60.63,7.3142,8.2894,1
-1082414993,380063483,380060112,68.31,7.3141,9.3395,1
-1082414994#2,380060486,380063483,86.48,7.3141,11.8238,1
-1082557528#1,411929140,295699964,46.84,7.3141,6.4041,1
