from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
1013323718,2296395497,409.9148,0.4099,0.082,1
1013323719,2296395497,492.7623,0.4928,0.0986,1
10136635288,2296395497,2194.6483,2.1946,0.4389,0
10220643198,2296395497,2207.0372,2.207,0.4414,0
10220643199,2296395497,2204.7059,2.2047,0.4409,0
10627514428,2296395497,2116.7083,2.1167,0.4233,0
12662559492,2296395497,2647.8105,2.6478,0.5296,0
12697044460,2296395497,2765.2621,2.7653,0.5531,0
12708745103,2296395497,2392.9772,2.393,0.4786,0
12803499336,2296395497,2226.6616,2.2267,0.4453,0
12969191289,2296395497,414.1779,0.4142,0.0828,1
13252209958,2296395497,444.2783,0.4443,0.0889,1
13329700713,2296395497,2628.1939,2.6282,0.5256,0
13329700764,2296395497,2697.0862,2.6971,0.5394,0
1489268449,2296395497,2255.291,2.2553,0.4511,0
1489637009,2296395497,2228.689,2.2287,0.4457,0
1509407617,2296395497,2195.4051,2.1954,0.4391,0
1553391593,2296395497,2944.5693,2.9446,0.5889,0
1588088186,2296395497,2468.2329,2.4682,0.4936,0
1588088195,2296395497,2598.1937,2.5982,0.5196,0
1594214784,2296395497,2273.8127,2.2738,0.4548,0
1594214788,2296395497,2058.3677,2.0584,0.4117,0
1594214797,2296395497,2065.695,2.0657,0.4131,0
1594214801,2296395497,2137.3088,2.1373,0.4275,0
1623257629,2296395497,2819.5716,2.8196,0.5639,0
1667842661,2296395497,2248.9193,2.2489,0.4498,0
1703857751,2296395497,2487.8114,2.4878,0.4976,0
1911930952,2296395497,2412.7808,2.4128,0.4826,0
1911930957,2296395497,2452.3985,2.4524,0.4905,0
1946220905,2296395497,2730.4317,2.7304,0.5461,0
2002201332,2296395497,2835.1161,2.8351,0.567,0
21456881,2296395497,2860.7656,2.8608,0.5722,0
2190611546,2296395497,2348.0981,2.3481,0.4696,0
2753073648,2296395497,2893.8305,2.8938,0.5788,0
2753084568,2296395497,2816.1329,2.8161,0.5632,0
287354790,2296395497,2253.8569,2.2539,0.4508,0
292190541,2296395497,65.5138,0.0655,0.0131,1
292190553,2296395497,266.2621,0.2663,0.0533,1
292190555,2296395497,451.6214,0.4516,0.0903,1
293911678,2296395497,2831.5908,2.8316,0.5663,0
293911986,2296395497,2763.9261,2.7639,0.5528,0
295406696,2296395497,2149.9704,2.15,0.43,0
295406697,2296395497,2186.5424,2.1865,0.4373,0
295699950,2296395497,2500.6059,2.5006,0.5001,0
295699952,2296395497,2562.6379,2.5626,0.5125,0
295704951,2296395497,2702.9046,2.7029,0.5406,0
295704964,2296395497,2501.0662,2.5011,0.5002,0
295704979,2296395497,2572.7026,2.5727,0.5145,0
295704998,2296395497,2656.0236,2.656,0.5312,0
297024074,2296395497,2798.7311,2.7987,0.5597,0
297024077,2296395497,2313.7201,2.3137,0.4627,0
297024081,2296395497,2246.0695,2.2461,0.4492,0
297024084,2296395497,2828.5337,2.8285,0.5657,0
297024108,2296395497,2409.6605,2.4097,0.4819,0
297024109,2296395497,2654.4808,2.6545,0.5309,0
297024110,2296395497,2695.8519,2.6959,0.5392,0
297024112,2296395497,2701.6168,2.7016,0.5403,0
297024118,2296395497,2669.4403,2.6694,0.5339,0
298509039,2296395497,2122.6906,2.1227,0.4245,0
298509040,2296395497,2291.8391,2.2918,0.4584,0
298510756,2296395497,2112.5132,2.1125,0.4225,0
298513389,2296395497,2138.4575,2.1385,0.4277,0
298584836,2296395497,2534.9362,2.5349,0.507,0
298584837,2296395497,2590.3266,2.5903,0.5181,0
298584871,2296395497,2437.4602,2.4375,0.4875,0
298584872,2296395497,2568.0558,2.5681,0.5136,0
298584875,2296395497,2208.5252,2.2085,0.4417,0
298584876,2296395497,2138.5137,2.1385,0.4277,0
298584878,2296395497,2010.6751,2.0107,0.4021,0
298584879,2296395497,2077.0125,2.077,0.4154,0
298584885,2296395497,2350.7401,2.3507,0.4701,0
298584886,2296395497,2418.4193,2.4184,0.4837,0
299045451,2296395497,2744.7753,2.7448,0.549,0
300153147,2296395497,2604.8877,2.6049,0.521,0
306013433,2296395497,324.8036,0.3248,0.065,1
306013441,2296395497,196.4998,0.1965,0.0393,1
310717154,2296395497,2789.0167,2.789,0.5578,0
335820951,2296395497,2681.409,2.6814,0.5363,0
376045510,2296395497,2701.6238,2.7016,0.5403,0
376114940,2296395497,2611.8985,2.6119,0.5224,0
376115090,2296395497,2563.609,2.5636,0.5127,0
376115373,2296395497,2515.8486,2.5158,0.5032,0
376115785,2296395497,2469.1425,2.4691,0.4938,0
376116109,2296395497,2736.2185,2.7362,0.5472,0
376116378,2296395497,2888.1125,2.8881,0.5776,0
376117044,2296395497,2910.6641,2.9107,0.5821,0
376117786,2296395497,2937.4332,2.9374,0.5875,0
376117839,2296395497,2966.1517,2.9662,0.5932,0
