parking_node_id,x,y,parking_cost,walk_distance_m,walk_distance_km,walk_time_hr,feasible,hop_from_source,source_node,destination_node
1013323719,7409.16,1447.5,18.67,492.7623,0.4928,0.0986,1,54,7935712602,2296395497
444672672,7681.54,1779.15,15.84,484.6928,0.4847,0.0969,1,58,7935712602,2296395497
442760443,7922.84,1800.82,18.44,460.1713,0.4602,0.092,1,61,7935712602,2296395497
292190555,7618.59,1702.42,17.04,451.6214,0.4516,0.0903,1,58,7935712602,2296395497
13252209958,7603.04,1680.58,19.95,444.2783,0.4443,0.0889,1,59,7935712602,2296395497
442760431,7567.7,1634.07,20.06,435.4253,0.4354,0.0871,1,58,7935712602,2296395497
442760435,7472.46,1337.86,13.45,418.0085,0.418,0.0836,1,56,7935712602,2296395497
442760432,7511.89,1512.31,15.74,415.1924,0.4152,0.083,1,57,7935712602,2296395497
12969191289,7476.56,1357.23,11.52,414.1779,0.4142,0.0828,1,56,7935712602,2296395497
1013323718,7483.18,1388.28,13.71,409.9148,0.4099,0.082,1,55,7935712602,2296395497
387526911,7492.5,1431.8,17.52,408.0025,0.408,0.0816,1,56,7935712602,2296395497
442760444,7873.87,1730.41,8.88,388.9735,0.389,0.0778,1,60,7935712602,2296395497
306013433,7826.82,1660.3,19.65,324.8036,0.3248,0.065,1,59,7935712602,2296395497
292190553,7771.19,1579.85,11.22,266.2621,0.2663,0.0533,1,59,7935712602,2296395497
442760434,7724.11,1508.07,20.25,235.1979,0.2352,0.047,1,59,7935712602,2296395497
442760433,7717.14,1469.82,18.62,215.4717,0.2155,0.0431,1,58,7935712602,2296395497
306013441,7700.05,1390.37,10.64,196.4998,0.1965,0.0393,1,57,7935712602,2296395497
292190541,7842.62,1386.56,19.13,65.5138,0.0655,0.0131,1,58,7935712602,2296395497
416289811,7047.02,3434.96,17.16,2256.7088,2.2567,0.4513,0,57,7935712602,2296395497
418988931,7227.83,3458.45,10.77,2217.9528,2.218,0.4436,0,57,7935712602,2296395497
10136635288,7493.33,3500.21,13.41,2194.6483,2.1946,0.4389,0,57,7935712602,2296395497
418988940,7500.99,3484.28,20.4,2177.6002,2.1776,0.4355,0,57,7935712602,2296395497
416208856,7121.17,3335.34,10.16,2136.8279,2.1368,0.4274,0,58,7935712602,2296395497
416245143,7064.87,3292.35,9.41,2118.0809,2.1181,0.4236,0,58,7935712602,2296395497
418988932,7232.87,3355.02,18.16,2117.9014,2.1179,0.4236,0,58,7935712602,2296395497
416232528,7037.88,3272.36,10.38,2110.4445,2.1104,0.4221,0,57,7935712602,2296395497
418988939,7536.2,3413.48,14.04,2101.7594,2.1018,0.4204,0,58,7935712602,2296395497
1594214788,7236.07,3293.37,10.11,2058.3677,2.0584,0.4117,0,59,7935712602,2296395497
418988942,7566.79,3349.6,8.61,2033.7298,2.0337,0.4067,0,58,7935712602,2296395497
416191302,7135.22,3209.29,20.41,2014.4301,2.0144,0.4029,0,59,7935712602,2296395497
6835825381,6719.51,2968.29,11.44,2004.1464,2.0041,0.4008,0,58,7935712602,2296395497
