method,dat_file,nodes,edges,parking_lots,S,D,Alpha,Wmax,Cmax,w,feasible,parking_node,drive_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,runtime_ms,drive_path,walk_path
ACO,N10_C1_I1.dat,10,42,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0087,0.2661,0.0532,9.01,4.53595,21.931,8->7->5,5->10
ACO,N10_C2_I1.dat,10,48,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0076,0.2661,0.0532,10.77,5.4154,19.41,8->5,5->10
ACO,N10_C3_I1.dat,10,42,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0087,0.2661,0.0532,10.77,5.41595,20.757,8->7->5,5->10
ACO,N10_C4_I1.dat,10,42,2,8,10,0.5,1.0,20.5,0.5,1,5,0.0087,0.2661,0.0532,10.77,5.41595,21.317,8->7->5,5->10
ACO,N10_C5_I1.dat,10,42,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0113,0.2661,0.0532,10.77,5.41725,46.451,8->7->6->5,5->10
ACO,N10_C6_I1.dat,10,42,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0259,0.2661,0.0532,10.77,5.42455,24.362,8->7->5,5->10
ACO,N10_C7_I1.dat,10,42,2,8,10,0.8,0.5,20.5,0.8,1,5,0.0087,0.2661,0.0532,10.77,2.2035199999999993,21.235,8->7->5,5->10
ACO,N10_C8_I1.dat,10,42,2,8,10,0.2,0.5,20.5,0.2,1,5,0.0087,0.2661,0.0532,10.77,8.62838,22.475,8->7->5,5->10
ACO,N10_C9_I1.dat,10,42,2,8,10,0.5,0.5,15.0,0.5,1,5,0.0087,0.2661,0.0532,10.77,5.41595,22.454,8->7->5,5->10
ACO,N10_C10_I1.dat,10,42,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0087,0.2661,0.0532,15.39,7.72595,21.564,8->7->5,5->10
ACO,N20_C1_I1.dat,20,58,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0205,0.35,0.06,9.01,4.54525,43.836,1->5->6->10->11->15->18,18->20
ACO,N20_C2_I1.dat,20,64,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0205,0.35,0.07,9.19,4.64025,45.112,1->5->6->10->11->15->18,18->20
ACO,N20_C3_I1.dat,20,58,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0205,0.35,0.07,9.19,4.64025,44.426,1->5->6->10->11->15->18,18->20
ACO,N20_C4_I1.dat,20,58,2,1,20,0.5,1.0,20.5,0.5,1,18,0.0205,0.35,0.07,9.19,4.64025,44.622,1->5->6->10->11->15->18,18->20
ACO,N20_C5_I1.dat,20,58,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0308,0.35,0.07,9.19,4.6453999999999995,44.251,1->5->6->10->11->15->18,18->20
ACO,N20_C6_I1.dat,20,58,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0607,0.35,0.07,9.19,4.660349999999999,44.518,1->5->6->10->11->15->18,18->20
ACO,N20_C7_I1.dat,20,58,2,1,20,0.8,0.5,20.5,0.8,1,18,0.0205,0.35,0.07,9.19,1.9103999999999994,47.843,1->5->6->10->11->15->18,18->20
ACO,N20_C8_I1.dat,20,58,2,1,20,0.2,0.5,20.5,0.2,1,18,0.0205,0.35,0.07,9.19,7.3701,43.973,1->5->6->10->11->15->18,18->20
ACO,N20_C9_I1.dat,20,58,2,1,20,0.5,0.5,15.0,0.5,1,18,0.0205,0.35,0.07,9.19,4.64025,44.442,1->5->6->10->11->15->18,18->20
ACO,N20_C10_I1.dat,20,58,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0205,0.35,0.07,15.72,7.9052500000000006,44.124,1->5->6->10->11->15->18,18->20
ACO,N30_C1_I1.dat,30,138,2,25,30,0.5,0.5,20.5,0.5,1,27,0.0221,0.2521,0.0504,9.41,4.74125,64.94,25->23->1->6->11->15->18->20->26->27,27->30
ACO,N30_C2_I1.dat,30,146,2,25,30,0.5,0.5,20.5,0.5,1,27,0.019299999999999998,0.2521,0.0504,9.41,4.73985,39.107,25->23->1->6->27,27->30
ACO,N30_C3_I1.dat,30,138,3,25,30,0.5,0.5,20.5,0.5,1,26,0.0194,0.3976,0.0795,8.0,4.04945,63.538,25->23->1->6->11->15->18->20->26,26->30
ACO,N30_C4_I1.dat,30,138,2,25,30,0.5,1.0,20.5,0.5,1,27,0.0221,0.2521,0.0504,9.41,4.74125,74.439,25->23->1->6->11->15->18->20->26->27,27->30
ACO,N30_C5_I1.dat,30,138,2,25,30,0.5,0.5,20.5,0.5,1,27,0.0317,0.2521,0.0504,9.41,4.74605,64.798,25->23->1->6->11->15->18->20->26->27,27->30
