method,dat_file,nodes,edges,parking_lots,S,D,Alpha,Wmax,Cmax,w,feasible,parking_node,drive_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,runtime_ms,drive_path,walk_path
ACO,N40_PS_edge_density_baseline_180_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,81.433,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_edge_density_dense_192_I1.dat,40,192,2,29,40,0.5,0.5,20.5,0.5,1,39,0.0234,0.12,0.024,19.16,9.6037,26.07,29->10->9->38->39,39->40
ACO,N40_PS_edge_density_denser_204_I1.dat,40,204,2,29,40,0.5,0.5,20.5,0.5,1,39,0.023200000000000002,0.12,0.024,19.16,9.6036,27.46,29->10->9->38->39,39->40
ACO,N40_PS_parking_budget_Cmax100_I1.dat,40,180,2,29,40,0.5,0.5,10.0,0.5,1,39,0.026999999999999996,0.12,0.024,6.4,3.2255000000000003,77.356,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_budget_Cmax150_I1.dat,40,180,2,29,40,0.5,0.5,15.0,0.5,1,39,0.026999999999999996,0.12,0.024,6.4,3.2255000000000003,78.322,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_budget_Cmax205_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,6.4,3.2255000000000003,80.186,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_budget_Cmax250_I1.dat,40,180,2,29,40,0.5,0.5,25.0,0.5,1,39,0.026999999999999996,0.12,0.024,6.4,3.2255000000000003,80.33,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_cost_100_225_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,11.2,5.6255,80.341,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_cost_125_250_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,14.25,7.1505,80.758,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_cost_150_300_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,17.55,8.8005,80.295,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_cost_80_205_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,8.9,4.4755,81.787,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_parking_supply_P10_I1.dat,40,180,4,29,40,0.5,0.5,20.5,0.5,1,37,0.0243,0.2861,0.0572,8.01,4.04575,85.876,29->33->26->20->18->15->14->5->1->21->23->36->25->37,37->40
ACO,N40_PS_parking_supply_P15_I1.dat,40,180,6,29,40,0.5,0.5,20.5,0.5,1,31,0.023299999999999998,0.3309,0.0662,8.0,4.04475,82.022,29->33->26->20->18->15->14->5->1->21->23->36->31,31->40
ACO,N40_PS_parking_supply_P20_I1.dat,40,180,8,29,40,0.5,0.5,20.5,0.5,1,31,0.023299999999999998,0.3309,0.0662,8.01,4.0497499999999995,81.497,29->33->26->20->18->15->14->5->1->21->23->36->31,31->40
ACO,N40_PS_parking_supply_P5_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,80.521,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_traffic_high_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.0708,0.12,0.024,19.16,9.6274,83.284,29->33->26->20->18->17->16->13->1->21->23->36->25->31->37->39,39->40
ACO,N40_PS_traffic_low_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.024499999999999994,0.12,0.024,19.16,9.60425,78.957,29->33->26->20->18->17->14->5->1->21->35->25->37->39,39->40
ACO,N40_PS_traffic_medium_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.0381,0.12,0.024,19.16,9.61105,81.752,29->27->32->20->18->15->14->5->1->21->23->36->25->37->39,39->40
ACO,N40_PS_traffic_very_low_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.021500000000000002,0.12,0.024,19.16,9.60275,82.768,29->27->33->26->20->18->17->14->5->1->21->35->25->37->39,39->40
ACO,N40_PS_walking_distance_W025_I1.dat,40,180,2,29,40,0.5,0.25,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,79.806,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_walking_distance_W050_I1.dat,40,180,2,29,40,0.5,0.5,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,83.677,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_walking_distance_W075_I1.dat,40,180,2,29,40,0.5,0.75,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,84.517,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
ACO,N40_PS_walking_distance_W100_I1.dat,40,180,2,29,40,0.5,1.0,20.5,0.5,1,39,0.026999999999999996,0.12,0.024,19.16,9.6055,81.797,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40
