case,parking_node,feasible,drive_path,walk_path,full_route
N40_PS_edge_density_baseline_180_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_edge_density_dense_192_I1.dat,39,1,29->10->9->38->39,39->40,29->10->9->38->39->40
N40_PS_edge_density_denser_204_I1.dat,39,1,29->10->9->38->39,39->40,29->10->9->38->39->40
N40_PS_parking_budget_Cmax100_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_budget_Cmax150_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_budget_Cmax205_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_budget_Cmax250_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_cost_100_225_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_cost_125_250_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_cost_150_300_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_cost_80_205_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_parking_supply_P10_I1.dat,37,1,29->33->26->20->18->15->14->5->1->21->23->36->25->37,37->40,29->33->26->20->18->15->14->5->1->21->23->36->25->37->40
N40_PS_parking_supply_P15_I1.dat,31,1,29->33->26->20->18->15->14->5->1->21->23->36->31,31->40,29->33->26->20->18->15->14->5->1->21->23->36->31->40
N40_PS_parking_supply_P20_I1.dat,31,1,29->33->26->20->18->15->14->5->1->21->23->36->31,31->40,29->33->26->20->18->15->14->5->1->21->23->36->31->40
N40_PS_parking_supply_P5_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_traffic_high_I1.dat,39,1,29->33->26->20->18->17->16->13->1->21->23->36->25->31->37->39,39->40,29->33->26->20->18->17->16->13->1->21->23->36->25->31->37->39->40
N40_PS_traffic_low_I1.dat,39,1,29->33->26->20->18->17->14->5->1->21->35->25->37->39,39->40,29->33->26->20->18->17->14->5->1->21->35->25->37->39->40
N40_PS_traffic_medium_I1.dat,39,1,29->27->32->20->18->15->14->5->1->21->23->36->25->37->39,39->40,29->27->32->20->18->15->14->5->1->21->23->36->25->37->39->40
N40_PS_traffic_very_low_I1.dat,39,1,29->27->33->26->20->18->17->14->5->1->21->35->25->37->39,39->40,29->27->33->26->20->18->17->14->5->1->21->35->25->37->39->40
N40_PS_walking_distance_W025_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_walking_distance_W050_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_walking_distance_W075_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
N40_PS_walking_distance_W100_I1.dat,39,1,29->33->26->20->18->15->14->5->1->21->23->36->31->39,39->40,29->33->26->20->18->15->14->5->1->21->23->36->31->39->40
