method,dat_file,nodes,edges,parking_lots,S,D,Alpha,Wmax,Cmax,w,feasible,parking_node,drive_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,runtime_ms,drive_path,walk_path
ACO,N2055_PS_edge_density_baseline_5385_I1.dat,2055,5093,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.2735000000000001,0.389,0.0778,8.88,4.6156500000000005,2891.545,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1808->1253->1601->138->775->774->2->773->771->3->1427->60->1967->801->1723->1724->1728->151->1673->489->82->1674->1675->1365->5->62->283->487->488->914->1682,1682->283
ACO,N2055_PS_edge_density_dense_6069_I1.dat,2055,5777,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.25910000000000005,0.389,0.0778,8.88,4.60845,991.917,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1846->567->1971->1211->933->22->1220->23->1126->932->931->2032->212->921->1291->528->477->1586->925->205->476->1583->475->1518->775->138->1967->801->1723->1724->1728->151->1673->489->82->1674->1675->1365->5->62->283->487->488->914->1682,1682->283
ACO,N2055_PS_edge_density_denser_6753_I1.dat,2055,6461,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.27780000000000005,0.389,0.0778,8.88,4.617800000000001,1256.896,1824->1969->193->2023->2008->2006->1233->157->2001->253->346->936->347->348->1988->928->899->52->683->53->1251->18->1151->194->1977->40->1904->2025->227->2011->270->1905->136->1906->1592->937->1879->127->128->474->963->490->1832->92->775->138->1967->801->1723->1724->1728->151->1673->489->82->1674->1675->1365->5->62->283->487->488->914->1682,1682->283
ACO,N2055_PS_parking_budget_Cmax100_I1.dat,2055,5093,103,1824,283,0.5,0.5,10.0,0.5,1,1682,0.1691,0.389,0.0778,8.88,4.5634500000000005,1035.104,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1375->1797->2050->4->1113->124->2028->1951->2002->1635->1949->1619->50->1948->1107->47->1670->48->1672->1433->1682,1682->283
ACO,N2055_PS_parking_budget_Cmax150_I1.dat,2055,5093,103,1824,283,0.5,0.5,15.0,0.5,1,1682,0.1691,0.389,0.0778,8.88,4.5634500000000005,1288.864,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1375->1797->2050->4->1113->124->2028->1951->2002->1635->1949->1619->50->1948->1107->47->1670->48->1672->1433->1682,1682->283
ACO,N2055_PS_parking_budget_Cmax205_I1.dat,2055,5093,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.2735000000000001,0.389,0.0778,8.88,4.6156500000000005,2866.229,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1808->1253->1601->138->775->774->2->773->771->3->1427->60->1967->801->1723->1724->1728->151->1673->489->82->1674->1675->1365->5->62->283->487->488->914->1682,1682->283
ACO,N2055_PS_parking_budget_Cmax250_I1.dat,2055,5093,103,1824,283,0.5,0.5,25.0,0.5,1,1682,0.2735000000000001,0.389,0.0778,8.88,4.6156500000000005,2896.209,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1808->1253->1601->138->775->774->2->773->771->3->1427->60->1967->801->1723->1724->1728->151->1673->489->82->1674->1675->1365->5->62->283->487->488->914->1682,1682->283
ACO,N2055_PS_parking_cost_100_225_I1.dat,2055,5093,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.1691,0.389,0.0778,10.88,5.5634500000000005,2756.388,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1375->1797->2050->4->1113->124->2028->1951->2002->1635->1949->1619->50->1948->1107->47->1670->48->1672->1433->1682,1682->283
ACO,N2055_PS_parking_cost_125_250_I1.dat,2055,5093,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.1691,0.389,0.0778,13.38,6.8134500000000005,3484.317,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1375->1797->2050->4->1113->124->2028->1951->2002->1635->1949->1619->50->1948->1107->47->1670->48->1672->1433->1682,1682->283
ACO,N2055_PS_parking_cost_150_300_I1.dat,2055,5093,103,1824,283,0.5,0.5,20.5,0.5,1,1682,0.1691,0.389,0.0778,16.06,8.15345,1111.877,1824->1969->193->2023->2008->2006->1233->157->2001->253->1232->1245->342->75->259->1847->1995->1844->1845->346->936->347->348->1996->1210->1115->343->1911->1800->344->959->1717->1243->1371->1909->897->500->1908->1687->135->1895->1517->1894->389->1893->386->1999->1900->1998->1935->1901->1981->1983->1902->1982->1903->194->1977->40->1904->2025->227->2011->270->501->1938->1958->1771->1957->1937->526->213->1956->471->1955->129->655->1954->1811->2027->1375->1797->2050->4->1113->124->2028->1951->2002->1635->1949->1619->50->1948->1107->47->1670->48->1672->1433->1682,1682->283
