graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|parking_budget_cmax|parameter_sensitivity|2500|10.0|Optimization|N2500_PS_parking_budget_Cmax100_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,10.0,Optimization,N2500_PS_parking_budget_Cmax100_I1,N2500_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,Optimization (Optimum),0.900000,17.092740,4.494840,6.830000,1.103579,0.818840,0.215329,0.069411,1.103579
N2500|parking_budget_cmax|parameter_sensitivity|2500|15.0|Optimization|N2500_PS_parking_budget_Cmax150_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,15.0,Optimization,N2500_PS_parking_budget_Cmax150_I1,N2500_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,Optimization (Optimum),0.900000,16.134720,4.258080,13.260000,1.067955,0.774881,0.204497,0.088577,1.067955
N2500|parking_budget_cmax|parameter_sensitivity|2500|20.5|Optimization|N2500_PS_parking_budget_Cmax205_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,20.5,Optimization,N2500_PS_parking_budget_Cmax205_I1,N2500_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,Optimization (Optimum),0.900000,17.036040,4.090800,11.100000,1.083073,0.829567,0.199201,0.054305,1.083073
N2500|parking_budget_cmax|parameter_sensitivity|2500|25.0|Optimization|N2500_PS_parking_budget_Cmax250_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,25.0,Optimization,N2500_PS_parking_budget_Cmax250_I1,N2500_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,Optimization (Optimum),0.900000,16.016400,1.739460,14.210000,0.926751,0.784546,0.085206,0.057000,0.926751
N2500|parking_budget_cmax|parameter_sensitivity|2500|10.0|ACO|N2500_PS_parking_budget_Cmax100_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,10.0,ACO,N2500_PS_parking_budget_Cmax100_I1,N2500_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,ACO,0.900000,12.072000,5.514000,10.000000,5.146550,0.578318,0.264152,0.101626,0.944096
N2500|parking_budget_cmax|parameter_sensitivity|2500|15.0|ACO|N2500_PS_parking_budget_Cmax150_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,15.0,ACO,N2500_PS_parking_budget_Cmax150_I1,N2500_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,ACO,0.900000,12.777300,3.308220,10.560000,0.843059,0.613638,0.158879,0.070541,0.843059
N2500|parking_budget_cmax|parameter_sensitivity|2500|20.5|ACO|N2500_PS_parking_budget_Cmax205_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,20.5,ACO,N2500_PS_parking_budget_Cmax205_I1,N2500_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,ACO,0.900000,12.656340,2.453160,12.590000,0.797349,0.616298,0.119456,0.061595,0.797349
N2500|parking_budget_cmax|parameter_sensitivity|2500|25.0|ACO|N2500_PS_parking_budget_Cmax250_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,25.0,ACO,N2500_PS_parking_budget_Cmax250_I1,N2500_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,ACO,0.900000,12.554400,1.739460,14.210000,0.757169,0.614964,0.085206,0.057000,0.757169
N2500|parking_budget_cmax|parameter_sensitivity|2500|10.0|PSO|N2500_PS_parking_budget_Cmax100_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,10.0,PSO,N2500_PS_parking_budget_Cmax100_I1,N2500_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,PSO,0.900000,17.092740,4.494840,6.830000,1.103579,0.818840,0.215329,0.069411,1.103579
N2500|parking_budget_cmax|parameter_sensitivity|2500|15.0|PSO|N2500_PS_parking_budget_Cmax150_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,15.0,PSO,N2500_PS_parking_budget_Cmax150_I1,N2500_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,PSO,0.900000,16.134720,4.258080,13.260000,1.067955,0.774881,0.204497,0.088577,1.067955
N2500|parking_budget_cmax|parameter_sensitivity|2500|20.5|PSO|N2500_PS_parking_budget_Cmax205_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,20.5,PSO,N2500_PS_parking_budget_Cmax205_I1,N2500_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,PSO,0.900000,17.036040,4.090800,11.100000,1.083073,0.829567,0.199201,0.054305,1.083073
N2500|parking_budget_cmax|parameter_sensitivity|2500|25.0|PSO|N2500_PS_parking_budget_Cmax250_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,25.0,PSO,N2500_PS_parking_budget_Cmax250_I1,N2500_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,PSO,0.900000,16.016400,1.739460,14.210000,0.926751,0.784546,0.085206,0.057000,0.926751
N2500|parking_budget_cmax|parameter_sensitivity|2500|10.0|GA|N2500_PS_parking_budget_Cmax100_I1,medium_large,parking_budget_cmax,parameter_sensitivity,2500,10.0,GA,N2500_PS_parking_budget_Cmax100_I1,N2500_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,GA,0.900000,19.510740,4.494840,6.830000,1.219415,0.934676,0.215329,0.069411,1.219415
