graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|parking_cost_range|parameter_sensitivity|2500|8.0-20.5|Optimization|N2500_PS_parking_cost_80_205_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,8.0-20.5,Optimization,N2500_PS_parking_cost_80_205_I1,N2500_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,Optimization (Optimum),0.900000,17.751180,2.180700,6.650000,1.017217,0.876980,0.107735,0.032502,1.017217
N2500|parking_cost_range|parameter_sensitivity|2500|10.0-22.5|Optimization|N2500_PS_parking_cost_100_225_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,10.0-22.5,Optimization,N2500_PS_parking_cost_100_225_I1,N2500_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,Optimization (Optimum),0.900000,16.735440,3.460380,10.090000,1.047264,0.826798,0.170957,0.049509,1.047264
N2500|parking_cost_range|parameter_sensitivity|2500|12.5-25.0|Optimization|N2500_PS_parking_cost_125_250_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,12.5-25.0,Optimization,N2500_PS_parking_cost_125_250_I1,N2500_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,Optimization (Optimum),0.900000,18.098820,1.796460,14.730000,1.058678,0.894155,0.088752,0.075772,1.058678
N2500|parking_cost_range|parameter_sensitivity|2500|15.0-30.0|Optimization|N2500_PS_parking_cost_150_300_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,15.0-30.0,Optimization,N2500_PS_parking_cost_150_300_I1,N2500_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,Optimization (Optimum),0.900000,18.057180,2.180700,14.750000,1.071819,0.892097,0.107735,0.071986,1.071819
N2500|parking_cost_range|parameter_sensitivity|2500|8.0-20.5|ACO|N2500_PS_parking_cost_80_205_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,8.0-20.5,ACO,N2500_PS_parking_cost_80_205_I1,N2500_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,ACO,0.900000,12.560820,1.796460,9.130000,0.753931,0.620555,0.088752,0.044624,0.753931
N2500|parking_cost_range|parameter_sensitivity|2500|10.0-22.5|ACO|N2500_PS_parking_cost_100_225_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,10.0-22.5,ACO,N2500_PS_parking_cost_100_225_I1,N2500_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,ACO,0.900000,12.392820,1.796460,11.490000,0.757386,0.612255,0.088752,0.056379,0.757386
N2500|parking_cost_range|parameter_sensitivity|2500|12.5-25.0|ACO|N2500_PS_parking_cost_125_250_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,12.5-25.0,ACO,N2500_PS_parking_cost_125_250_I1,N2500_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,ACO,0.900000,12.392820,1.796460,14.730000,0.776779,0.612255,0.088752,0.075772,0.776779
N2500|parking_cost_range|parameter_sensitivity|2500|15.0-30.0|ACO|N2500_PS_parking_cost_150_300_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,15.0-30.0,ACO,N2500_PS_parking_cost_150_300_I1,N2500_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,ACO,0.900000,12.392820,1.796460,18.890000,0.793199,0.612255,0.088752,0.092191,0.793199
N2500|parking_cost_range|parameter_sensitivity|2500|8.0-20.5|PSO|N2500_PS_parking_cost_80_205_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,8.0-20.5,PSO,N2500_PS_parking_cost_80_205_I1,N2500_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,PSO,0.900000,18.740820,1.796460,9.130000,1.059248,0.925872,0.088752,0.044624,1.059248
N2500|parking_cost_range|parameter_sensitivity|2500|10.0-22.5|PSO|N2500_PS_parking_cost_100_225_I1,medium_large,parking_cost_range,parameter_sensitivity,2500,10.0-22.5,PSO,N2500_PS_parking_cost_100_225_I1,N2500_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,PSO,0.900000,16.735440,3.460380,10.090000,1.047264,0.826798,0.170957,0.049509,1.047264
