graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|spots_per_lot|parameter_sensitivity|2500|10-20|Optimization|N2500_PS_spots_per_lot_S1020_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,10-20,Optimization,N2500_PS_spots_per_lot_S1020_I1,N2500_PS_spots_per_lot_S1020_I1.dat,10-20,10,Optimization (Optimum),0.900000,12.417420,1.825260,9.660000,0.755924,0.617231,0.090728,0.047964,0.755924
N2500|spots_per_lot|parameter_sensitivity|2500|20-40|Optimization|N2500_PS_spots_per_lot_S2040_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,20-40,Optimization,N2500_PS_spots_per_lot_S2040_I1,N2500_PS_spots_per_lot_S2040_I1.dat,20-40,20,Optimization (Optimum),0.900000,12.370440,2.182200,6.670000,0.751376,0.611035,0.107789,0.032552,0.751376
N2500|spots_per_lot|parameter_sensitivity|2500|40-60|Optimization|N2500_PS_spots_per_lot_S4060_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,40-60,Optimization,N2500_PS_spots_per_lot_S4060_I1,N2500_PS_spots_per_lot_S4060_I1.dat,40-60,40,Optimization (Optimum),0.900000,12.523380,1.767240,8.690000,0.748053,0.618398,0.087265,0.042390,0.748053
N2500|spots_per_lot|parameter_sensitivity|2500|60-80|Optimization|N2500_PS_spots_per_lot_S6080_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,60-80,Optimization,N2500_PS_spots_per_lot_S6080_I1,N2500_PS_spots_per_lot_S6080_I1.dat,60-80,60,Optimization (Optimum),0.900000,12.360000,1.736340,8.220000,0.737625,0.611522,0.085907,0.040196,0.737625
N2500|spots_per_lot|parameter_sensitivity|2500|10-20|ACO|N2500_PS_spots_per_lot_S1020_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,10-20,ACO,N2500_PS_spots_per_lot_S1020_I1,N2500_PS_spots_per_lot_S1020_I1.dat,10-20,10,ACO,0.900000,12.417420,1.825260,9.660000,0.755924,0.617231,0.090728,0.047964,0.755924
N2500|spots_per_lot|parameter_sensitivity|2500|20-40|ACO|N2500_PS_spots_per_lot_S2040_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,20-40,ACO,N2500_PS_spots_per_lot_S2040_I1,N2500_PS_spots_per_lot_S2040_I1.dat,20-40,20,ACO,0.900000,12.370440,2.182200,6.670000,0.751376,0.611035,0.107789,0.032552,0.751376
N2500|spots_per_lot|parameter_sensitivity|2500|40-60|ACO|N2500_PS_spots_per_lot_S4060_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,40-60,ACO,N2500_PS_spots_per_lot_S4060_I1,N2500_PS_spots_per_lot_S4060_I1.dat,40-60,40,ACO,0.900000,12.523380,1.767240,8.690000,0.748053,0.618398,0.087265,0.042390,0.748053
N2500|spots_per_lot|parameter_sensitivity|2500|60-80|ACO|N2500_PS_spots_per_lot_S6080_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,60-80,ACO,N2500_PS_spots_per_lot_S6080_I1,N2500_PS_spots_per_lot_S6080_I1.dat,60-80,60,ACO,0.900000,12.362580,1.783380,8.270000,0.740324,0.611650,0.088234,0.040440,0.740324
N2500|spots_per_lot|parameter_sensitivity|2500|10-20|PSO|N2500_PS_spots_per_lot_S1020_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,10-20,PSO,N2500_PS_spots_per_lot_S1020_I1,N2500_PS_spots_per_lot_S1020_I1.dat,10-20,10,PSO,0.900000,17.518260,3.497340,8.100000,1.084839,0.870778,0.173842,0.040218,1.084839
N2500|spots_per_lot|parameter_sensitivity|2500|20-40|PSO|N2500_PS_spots_per_lot_S2040_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,20-40,PSO,N2500_PS_spots_per_lot_S2040_I1,N2500_PS_spots_per_lot_S2040_I1.dat,20-40,20,PSO,0.900000,18.982140,1.797960,9.150000,1.071084,0.937618,0.088810,0.044656,1.071084
N2500|spots_per_lot|parameter_sensitivity|2500|40-60|PSO|N2500_PS_spots_per_lot_S4060_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,40-60,PSO,N2500_PS_spots_per_lot_S4060_I1,N2500_PS_spots_per_lot_S4060_I1.dat,40-60,40,PSO,0.900000,17.898240,2.155980,6.200000,1.020511,0.883806,0.106461,0.030244,1.020511
N2500|spots_per_lot|parameter_sensitivity|2500|60-80|PSO|N2500_PS_spots_per_lot_S6080_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,60-80,PSO,N2500_PS_spots_per_lot_S6080_I1,N2500_PS_spots_per_lot_S6080_I1.dat,60-80,60,PSO,0.900000,17.010000,3.402120,6.650000,1.042426,0.841585,0.168323,0.032518,1.042426
N2500|spots_per_lot|parameter_sensitivity|2500|10-20|GA|N2500_PS_spots_per_lot_S1020_I1,medium_large,spots_per_lot,parameter_sensitivity,2500,10-20,GA,N2500_PS_spots_per_lot_S1020_I1,N2500_PS_spots_per_lot_S1020_I1.dat,10-20,10,GA,0.900000,19.294080,2.877840,12.600000,1.164659,0.959049,0.143048,0.062562,1.164659
