graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|edge_density|parameter_sensitivity|40|180|Optimization|N40_PS_edge_density_baseline_180_I1,small_scale,edge_density,parameter_sensitivity,40,180,Optimization,N40_PS_edge_density_baseline_180_I1,N40_PS_edge_density_baseline_180_I1.dat,180,180,Optimization (Optimum),0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|edge_density|parameter_sensitivity|40|192|Optimization|N40_PS_edge_density_dense_192_I1,small_scale,edge_density,parameter_sensitivity,40,192,Optimization,N40_PS_edge_density_dense_192_I1,N40_PS_edge_density_dense_192_I1.dat,192,192,Optimization (Optimum),0.900000,1.493400,1.607280,19.670000,0.881461,0.377293,0.406063,0.098105,0.881461
N40|edge_density|parameter_sensitivity|40|204|Optimization|N40_PS_edge_density_denser_204_I1,small_scale,edge_density,parameter_sensitivity,40,204,Optimization,N40_PS_edge_density_denser_204_I1,N40_PS_edge_density_denser_204_I1.dat,204,204,Optimization (Optimum),0.900000,1.481400,1.607280,19.670000,0.881067,0.375526,0.407436,0.098105,0.881067
N40|edge_density|parameter_sensitivity|40|180|ACO|N40_PS_edge_density_baseline_180_I1,small_scale,edge_density,parameter_sensitivity,40,180,ACO,N40_PS_edge_density_baseline_180_I1,N40_PS_edge_density_baseline_180_I1.dat,180,180,ACO,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|edge_density|parameter_sensitivity|40|192|ACO|N40_PS_edge_density_dense_192_I1,small_scale,edge_density,parameter_sensitivity,40,192,ACO,N40_PS_edge_density_dense_192_I1,N40_PS_edge_density_dense_192_I1.dat,192,192,ACO,0.900000,1.493400,1.607280,19.670000,0.881461,0.377293,0.406063,0.098105,0.881461
N40|edge_density|parameter_sensitivity|40|204|ACO|N40_PS_edge_density_denser_204_I1,small_scale,edge_density,parameter_sensitivity,40,204,ACO,N40_PS_edge_density_denser_204_I1,N40_PS_edge_density_denser_204_I1.dat,204,204,ACO,0.900000,1.481400,1.607280,19.670000,0.881067,0.375526,0.407436,0.098105,0.881067
N40|edge_density|parameter_sensitivity|40|180|PSO|N40_PS_edge_density_baseline_180_I1,small_scale,edge_density,parameter_sensitivity,40,180,PSO,N40_PS_edge_density_baseline_180_I1,N40_PS_edge_density_baseline_180_I1.dat,180,180,PSO,0.900000,1.757400,1.607280,19.670000,0.895763,0.416623,0.381035,0.098105,0.895763
N40|edge_density|parameter_sensitivity|40|192|PSO|N40_PS_edge_density_dense_192_I1,small_scale,edge_density,parameter_sensitivity,40,192,PSO,N40_PS_edge_density_dense_192_I1,N40_PS_edge_density_dense_192_I1.dat,192,192,PSO,0.900000,1.493400,1.607280,19.670000,0.881461,0.377293,0.406063,0.098105,0.881461
N40|edge_density|parameter_sensitivity|40|204|PSO|N40_PS_edge_density_denser_204_I1,small_scale,edge_density,parameter_sensitivity,40,204,PSO,N40_PS_edge_density_denser_204_I1,N40_PS_edge_density_denser_204_I1.dat,204,204,PSO,0.900000,1.481400,1.607280,19.670000,0.881067,0.375526,0.407436,0.098105,0.881067
N40|edge_density|parameter_sensitivity|40|180|GA|N40_PS_edge_density_baseline_180_I1,small_scale,edge_density,parameter_sensitivity,40,180,GA,N40_PS_edge_density_baseline_180_I1,N40_PS_edge_density_baseline_180_I1.dat,180,180,GA,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|edge_density|parameter_sensitivity|40|192|GA|N40_PS_edge_density_dense_192_I1,small_scale,edge_density,parameter_sensitivity,40,192,GA,N40_PS_edge_density_dense_192_I1,N40_PS_edge_density_dense_192_I1.dat,192,192,GA,0.900000,1.493400,1.607280,19.670000,0.881461,0.377293,0.406063,0.098105,0.881461
N40|edge_density|parameter_sensitivity|40|204|GA|N40_PS_edge_density_denser_204_I1,small_scale,edge_density,parameter_sensitivity,40,204,GA,N40_PS_edge_density_denser_204_I1,N40_PS_edge_density_denser_204_I1.dat,204,204,GA,0.900000,1.481400,1.607280,19.670000,0.881067,0.375526,0.407436,0.098105,0.881067
