graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N10|node_size|final_case|10|10|Optimization|N10_C1_I1,small_scale,node_size,final_case,10,10,Optimization,N10_C1_I1,N10_C1_I1.dat,10,10,Optimization (Optimum),0.900000,0.629400,3.433380,9.170000,0.974552,0.135635,0.739889,0.099028,0.974552
N20|node_size|final_case|20|20|Optimization|N20_C1_I1,small_scale,node_size,final_case,20,20,Optimization,N20_C1_I1,N20_C1_I1.dat,20,20,Optimization (Optimum),0.900000,1.595640,1.607520,17.800000,0.577410,0.238428,0.240203,0.098779,0.577410
N30|node_size|final_case|30|30|Optimization|N30_C1_I1,small_scale,node_size,final_case,30,30,Optimization,N30_C1_I1,N30_C1_I1.dat,30,30,Optimization (Optimum),0.900000,1.577040,1.612920,13.280000,0.682138,0.288529,0.295093,0.098516,0.682138
N40|node_size|final_case|40|40|Optimization|N40_C1_I1,small_scale,node_size,final_case,40,40,Optimization,N40_C1_I1,N40_C1_I1.dat,40,40,Optimization (Optimum),0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N10|node_size|final_case|10|10|ACO|N10_C1_I1,small_scale,node_size,final_case,10,10,ACO,N10_C1_I1,N10_C1_I1.dat,10,10,ACO,0.900000,0.629400,3.433380,9.170000,0.974552,0.135635,0.739889,0.099028,0.974552
N20|node_size|final_case|20|20|ACO|N20_C1_I1,small_scale,node_size,final_case,20,20,ACO,N20_C1_I1,N20_C1_I1.dat,20,20,ACO,0.900000,1.345500,4.481700,7.350000,0.911516,0.201051,0.669677,0.040788,0.911516
N30|node_size|final_case|30|30|ACO|N30_C1_I1,small_scale,node_size,final_case,30,30,ACO,N30_C1_I1,N30_C1_I1.dat,30,30,ACO,0.900000,1.429200,3.255780,7.690000,0.914192,0.261480,0.595664,0.057047,0.914192
N40|node_size|final_case|40|40|ACO|N40_C1_I1,small_scale,node_size,final_case,40,40,ACO,N40_C1_I1,N40_C1_I1.dat,40,40,ACO,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N10|node_size|final_case|10|10|PSO|N10_C1_I1,small_scale,node_size,final_case,10,10,PSO,N10_C1_I1,N10_C1_I1.dat,10,10,PSO,0.900000,0.629400,3.433380,9.170000,0.974552,0.135635,0.739889,0.099028,0.974552
N20|node_size|final_case|20|20|PSO|N20_C1_I1,small_scale,node_size,final_case,20,20,PSO,N20_C1_I1,N20_C1_I1.dat,20,20,PSO,0.900000,1.595640,1.607520,17.800000,0.577410,0.238428,0.240203,0.098779,0.577410
N30|node_size|final_case|30|30|PSO|N30_C1_I1,small_scale,node_size,final_case,30,30,PSO,N30_C1_I1,N30_C1_I1.dat,30,30,PSO,0.900000,1.679040,1.612920,13.280000,0.700800,0.307190,0.295093,0.098516,0.700800
N40|node_size|final_case|40|40|PSO|N40_C1_I1,small_scale,node_size,final_case,40,40,PSO,N40_C1_I1,N40_C1_I1.dat,40,40,PSO,0.900000,1.757400,1.607280,19.670000,0.895763,0.416623,0.381035,0.098105,0.895763
N10|node_size|final_case|10|10|GA|N10_C1_I1,small_scale,node_size,final_case,10,10,GA,N10_C1_I1,N10_C1_I1.dat,10,10,GA,0.900000,0.629400,3.433380,9.170000,0.974552,0.135635,0.739889,0.099028,0.974552
N20|node_size|final_case|20|20|GA|N20_C1_I1,small_scale,node_size,final_case,20,20,GA,N20_C1_I1,N20_C1_I1.dat,20,20,GA,0.900000,1.595640,1.607520,17.800000,0.577410,0.238428,0.240203,0.098779,0.577410
N30|node_size|final_case|30|30|GA|N30_C1_I1,small_scale,node_size,final_case,30,30,GA,N30_C1_I1,N30_C1_I1.dat,30,30,GA,0.900000,1.577040,1.612920,13.280000,0.682138,0.288529,0.295093,0.098516,0.682138
N40|node_size|final_case|40|40|GA|N40_C1_I1,small_scale,node_size,final_case,40,40,GA,N40_C1_I1,N40_C1_I1.dat,40,40,GA,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
