graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|parking_budget_cmax|parameter_sensitivity|2055|10.0|Optimization|N2055_PS_parking_budget_Cmax100_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,10.0,Optimization,N2055_PS_parking_budget_Cmax100_I1,N2055_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,Optimization (Optimum),0.900000,13.257600,4.906140,8.840000,1.074293,0.713603,0.264078,0.096612,1.074293
SUMO|parking_budget_cmax|parameter_sensitivity|2055|15.0|Optimization|N2055_PS_parking_budget_Cmax150_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,15.0,Optimization,N2055_PS_parking_budget_Cmax150_I1,N2055_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,Optimization (Optimum),0.900000,13.104480,3.376320,14.730000,1.000183,0.716833,0.184689,0.098660,1.000183
SUMO|parking_budget_cmax|parameter_sensitivity|2055|20.5|Optimization|N2055_PS_parking_budget_Cmax205_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,20.5,Optimization,N2055_PS_parking_budget_Cmax205_I1,N2055_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,Optimization (Optimum),0.900000,13.634280,2.130360,20.360000,0.962147,0.745640,0.116506,0.100000,0.962147
SUMO|parking_budget_cmax|parameter_sensitivity|2055|25.0|Optimization|N2055_PS_parking_budget_Cmax250_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,25.0,Optimization,N2055_PS_parking_budget_Cmax250_I1,N2055_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,Optimization (Optimum),0.900000,13.538640,2.487300,14.260000,0.932759,0.739668,0.135891,0.057200,0.932759
SUMO|parking_budget_cmax|parameter_sensitivity|2055|10.0|ACO|N2055_PS_parking_budget_Cmax100_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,10.0,ACO,N2055_PS_parking_budget_Cmax100_I1,N2055_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,ACO,0.900000,10.146000,4.668000,8.880000,4.563450,0.546118,0.251260,0.097049,0.894427
SUMO|parking_budget_cmax|parameter_sensitivity|2055|15.0|ACO|N2055_PS_parking_budget_Cmax150_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,15.0,ACO,N2055_PS_parking_budget_Cmax150_I1,N2055_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,ACO,0.900000,10.146000,4.668000,8.880000,4.563450,0.555000,0.255346,0.059478,0.869824
SUMO|parking_budget_cmax|parameter_sensitivity|2055|20.5|ACO|N2055_PS_parking_budget_Cmax205_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,20.5,ACO,N2055_PS_parking_budget_Cmax205_I1,N2055_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,ACO,0.900000,16.614540,5.727120,10.330000,1.272572,0.908627,0.313208,0.050737,1.272572
SUMO|parking_budget_cmax|parameter_sensitivity|2055|25.0|ACO|N2055_PS_parking_budget_Cmax250_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,25.0,ACO,N2055_PS_parking_budget_Cmax250_I1,N2055_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,ACO,0.900000,16.500600,4.831260,11.750000,1.212574,0.901492,0.263950,0.047132,1.212574
SUMO|parking_budget_cmax|parameter_sensitivity|2055|10.0|PSO|N2055_PS_parking_budget_Cmax100_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,10.0,PSO,N2055_PS_parking_budget_Cmax100_I1,N2055_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,PSO,0.900000,14.313600,4.906140,8.840000,1.131133,0.770443,0.264078,0.096612,1.131133
SUMO|parking_budget_cmax|parameter_sensitivity|2055|15.0|PSO|N2055_PS_parking_budget_Cmax150_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,15.0,PSO,N2055_PS_parking_budget_Cmax150_I1,N2055_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,PSO,0.900000,13.380060,4.025580,10.760000,1.024183,0.731908,0.220205,0.072070,1.024183
SUMO|parking_budget_cmax|parameter_sensitivity|2055|20.5|PSO|N2055_PS_parking_budget_Cmax205_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,20.5,PSO,N2055_PS_parking_budget_Cmax205_I1,N2055_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,PSO,0.900000,13.634280,2.130360,20.360000,0.962147,0.745640,0.116506,0.100000,0.962147
SUMO|parking_budget_cmax|parameter_sensitivity|2055|25.0|PSO|N2055_PS_parking_budget_Cmax250_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,25.0,PSO,N2055_PS_parking_budget_Cmax250_I1,N2055_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,PSO,0.900000,14.023560,5.190780,18.140000,1.122517,0.766161,0.283592,0.072764,1.122517
SUMO|parking_budget_cmax|parameter_sensitivity|2055|10.0|GA|N2055_PS_parking_budget_Cmax100_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,10.0,GA,N2055_PS_parking_budget_Cmax100_I1,N2055_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,GA,0.900000,13.257600,4.906140,8.840000,1.074293,0.713603,0.264078,0.096612,1.074293
SUMO|parking_budget_cmax|parameter_sensitivity|2055|15.0|GA|N2055_PS_parking_budget_Cmax150_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,15.0,GA,N2055_PS_parking_budget_Cmax150_I1,N2055_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,GA,0.900000,13.116000,3.483840,14.260000,1.003547,0.717464,0.190571,0.095512,1.003547
SUMO|parking_budget_cmax|parameter_sensitivity|2055|20.5|GA|N2055_PS_parking_budget_Cmax205_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,20.5,GA,N2055_PS_parking_budget_Cmax205_I1,N2055_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,GA,0.900000,14.206560,2.360580,19.350000,1.001074,0.776937,0.129097,0.095039,1.001074
SUMO|parking_budget_cmax|parameter_sensitivity|2055|25.0|GA|N2055_PS_parking_budget_Cmax250_I1,sumo,parking_budget_cmax,parameter_sensitivity,2055,25.0,GA,N2055_PS_parking_budget_Cmax250_I1,N2055_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,GA,0.900000,13.586820,2.819400,13.460000,0.950326,0.742300,0.154035,0.053991,0.950326
